Date,Category,Predicted_Spending
2025-11,Food,181.75
2025-12,Food,183.3
2026-01,Food,184.85
2026-02,Food,186.26
2026-03,Food,187.81
2026-04,Food,189.31
2026-05,Food,190.86
2026-06,Food,192.36
2026-07,Food,193.92
2026-08,Food,195.47
2026-09,Food,196.97
2026-10,Food,198.52
2025-11,Education,195.53
2025-12,Education,196.74
2026-01,Education,197.95
2026-02,Education,199.04
2026-03,Education,200.24
2026-04,Education,201.41
2026-05,Education,202.62
2026-06,Education,203.79
2026-07,Education,205.0
2026-08,Education,206.2
2026-09,Education,207.37
2026-10,Education,208.58
2025-11,Transport,152.1
2025-12,Transport,150.94
2026-01,Transport,149.78
2026-02,Transport,148.74
2026-03,Transport,147.58
2026-04,Transport,146.46
2026-05,Transport,145.31
2026-06,Transport,144.19
2026-07,Transport,143.03
2026-08,Transport,141.87
2026-09,Transport,140.75
2026-10,Transport,139.6
2025-11,Health,221.72
2025-12,Health,223.48
2026-01,Health,225.24
2026-02,Health,226.84
2026-03,Health,228.6
2026-04,Health,230.3
2026-05,Health,232.06
2026-06,Health,233.77
2026-07,Health,235.53
2026-08,Health,237.29
2026-09,Health,238.99
2026-10,Health,240.75
2025-11,Grocery,86.01
2025-12,Grocery,81.03
2026-01,Grocery,76.04
2026-02,Grocery,71.54
2026-03,Grocery,66.55
2026-04,Grocery,61.73
2026-05,Grocery,56.74
2026-06,Grocery,51.92
2026-07,Grocery,46.93
2026-08,Grocery,41.95
2026-09,Grocery,37.12
2026-10,Grocery,32.14
2025-11,Insurance,234.8
2025-12,Insurance,229.09
2026-01,Insurance,223.39
2026-02,Insurance,218.23
2026-03,Insurance,212.53
2026-04,Insurance,207.0
2026-05,Insurance,201.3
2026-06,Insurance,195.77
2026-07,Insurance,190.07
2026-08,Insurance,184.36
2026-09,Insurance,178.84
2026-10,Insurance,173.13
2025-11,Travel,156.6
2025-12,Travel,155.27
2026-01,Travel,153.93
2026-02,Travel,152.73
2026-03,Travel,151.4
2026-04,Travel,150.11
2026-05,Travel,148.77
2026-06,Travel,147.48
2026-07,Travel,146.15
2026-08,Travel,144.82
2026-09,Travel,143.53
2026-10,Travel,142.19
2025-11,Bills,424.5
2025-12,Bills,426.71
2026-01,Bills,428.92
2026-02,Bills,430.92
2026-03,Bills,433.14
2026-04,Bills,435.28
2026-05,Bills,437.49
2026-06,Bills,439.64
2026-07,Bills,441.85
2026-08,Bills,444.06
2026-09,Bills,446.21
2026-10,Bills,448.42
2025-11,Family,169.17
2025-12,Family,170.13
2026-01,Family,171.08
2026-02,Family,171.94
2026-03,Family,172.9
2026-04,Family,173.82
2026-05,Family,174.77
2026-06,Family,175.7
2026-07,Family,176.65
2026-08,Family,177.6
2026-09,Family,178.53
2026-10,Family,179.48
2025-11,Other,104.94
2025-12,Other,101.0
2026-01,Other,97.06
2026-02,Other,93.51
2026-03,Other,89.57
2026-04,Other,85.77
2026-05,Other,81.83
2026-06,Other,78.02
2026-07,Other,74.09
2026-08,Other,70.15
2026-09,Other,66.34
2026-10,Other,62.41
2025-11,Entertainment,250.46
2025-12,Entertainment,255.22
2026-01,Entertainment,259.98
2026-02,Entertainment,264.28
2026-03,Entertainment,269.04
2026-04,Entertainment,273.65
2026-05,Entertainment,278.41
2026-06,Entertainment,283.02
2026-07,Entertainment,287.79
2026-08,Entertainment,292.55
2026-09,Entertainment,297.16
2026-10,Entertainment,301.92
