Date,Category,Predicted_Spending
2025-11,Food,161.58
2025-12,Food,162.96
2026-01,Food,164.33
2026-02,Food,165.58
2026-03,Food,166.96
2026-04,Food,168.3
2026-05,Food,169.68
2026-06,Food,171.01
2026-07,Food,172.39
2026-08,Food,173.77
2026-09,Food,175.11
2026-10,Food,176.49
2025-11,Education,173.83
2025-12,Education,174.9
2026-01,Education,175.97
2026-02,Education,176.94
2026-03,Education,178.02
2026-04,Education,179.06
2026-05,Education,180.13
2026-06,Education,181.17
2026-07,Education,182.24
2026-08,Education,183.31
2026-09,Education,184.35
2026-10,Education,185.43
2025-11,Transport,135.21
2025-12,Transport,134.19
2026-01,Transport,133.16
2026-02,Transport,132.23
2026-03,Transport,131.2
2026-04,Transport,130.2
2026-05,Transport,129.18
2026-06,Transport,128.18
2026-07,Transport,127.15
2026-08,Transport,126.12
2026-09,Transport,125.13
2026-10,Transport,124.1
2025-11,Health,197.11
2025-12,Health,198.68
2026-01,Health,200.24
2026-02,Health,201.66
2026-03,Health,203.22
2026-04,Health,204.74
2026-05,Health,206.3
2026-06,Health,207.82
2026-07,Health,209.38
2026-08,Health,210.95
2026-09,Health,212.46
2026-10,Health,214.03
2025-11,Grocery,76.47
2025-12,Grocery,72.03
2026-01,Grocery,67.6
2026-02,Grocery,63.6
2026-03,Grocery,59.17
2026-04,Grocery,54.88
2026-05,Grocery,50.44
2026-06,Grocery,46.15
2026-07,Grocery,41.72
2026-08,Grocery,37.29
2026-09,Grocery,33.0
2026-10,Grocery,28.57
2025-11,Insurance,208.74
2025-12,Insurance,203.66
2026-01,Insurance,198.59
2026-02,Insurance,194.01
2026-03,Insurance,188.93
2026-04,Insurance,184.03
2026-05,Insurance,178.95
2026-06,Insurance,174.04
2026-07,Insurance,168.97
2026-08,Insurance,163.9
2026-09,Insurance,158.99
2026-10,Insurance,153.91
2025-11,Travel,139.22
2025-12,Travel,138.03
2026-01,Travel,136.85
2026-02,Travel,135.78
2026-03,Travel,134.59
2026-04,Travel,133.44
2026-05,Travel,132.26
2026-06,Travel,131.11
2026-07,Travel,129.93
2026-08,Travel,128.74
2026-09,Travel,127.6
2026-10,Travel,126.41
2025-11,Bills,377.38
2025-12,Bills,379.34
2026-01,Bills,381.31
2026-02,Bills,383.09
2026-03,Bills,385.06
2026-04,Bills,386.96
2026-05,Bills,388.93
2026-06,Bills,390.84
2026-07,Bills,392.8
2026-08,Bills,394.77
2026-09,Bills,396.68
2026-10,Bills,398.65
2025-11,Family,150.4
2025-12,Family,151.24
2026-01,Family,152.09
2026-02,Family,152.86
2026-03,Family,153.7
2026-04,Family,154.52
2026-05,Family,155.37
2026-06,Family,156.19
2026-07,Family,157.04
2026-08,Family,157.89
2026-09,Family,158.71
2026-10,Family,159.56
2025-11,Other,93.29
2025-12,Other,89.79
2026-01,Other,86.29
2026-02,Other,83.13
2026-03,Other,79.63
2026-04,Other,76.25
2026-05,Other,72.75
2026-06,Other,69.36
2026-07,Other,65.86
2026-08,Other,62.36
2026-09,Other,58.98
2026-10,Other,55.48
2025-11,Entertainment,222.66
2025-12,Entertainment,226.89
2026-01,Entertainment,231.12
2026-02,Entertainment,234.95
2026-03,Entertainment,239.18
2026-04,Entertainment,243.28
2026-05,Entertainment,247.51
2026-06,Entertainment,251.61
2026-07,Entertainment,255.84
2026-08,Entertainment,260.07
2026-09,Entertainment,264.17
2026-10,Entertainment,268.41
