Date,Category,Predicted_Spending
2025-11,Food,63.79
2025-12,Food,64.2
2026-01,Food,64.61
2026-02,Food,64.98
2026-03,Food,65.4
2026-04,Food,65.8
2026-05,Food,66.21
2026-06,Food,66.61
2026-07,Food,67.02
2026-08,Food,67.43
2026-09,Food,67.83
2026-10,Food,68.24
2025-11,Education,72.54
2025-12,Education,72.99
2026-01,Education,73.44
2026-02,Education,73.84
2026-03,Education,74.29
2026-04,Education,74.72
2026-05,Education,75.17
2026-06,Education,75.61
2026-07,Education,76.05
2026-08,Education,76.5
2026-09,Education,76.93
2026-10,Education,77.38
2025-11,Transport,56.43
2025-12,Transport,56.0
2026-01,Transport,55.57
2026-02,Transport,55.18
2026-03,Transport,54.75
2026-04,Transport,54.34
2026-05,Transport,53.91
2026-06,Transport,53.49
2026-07,Transport,53.06
2026-08,Transport,52.63
2026-09,Transport,52.22
2026-10,Transport,51.79
2025-11,Health,82.26
2025-12,Health,82.91
2026-01,Health,83.57
2026-02,Health,84.16
2026-03,Health,84.81
2026-04,Health,85.44
2026-05,Health,86.1
2026-06,Health,86.73
2026-07,Health,87.38
2026-08,Health,88.03
2026-09,Health,88.67
2026-10,Health,89.32
2025-11,Grocery,31.91
2025-12,Grocery,30.06
2026-01,Grocery,28.21
2026-02,Grocery,26.54
2026-03,Grocery,24.69
2026-04,Grocery,22.9
2026-05,Grocery,21.05
2026-06,Grocery,19.26
2026-07,Grocery,17.41
2026-08,Grocery,15.56
2026-09,Grocery,13.77
2026-10,Grocery,11.92
2025-11,Insurance,87.11
2025-12,Insurance,84.99
2026-01,Insurance,82.88
2026-02,Insurance,80.96
2026-03,Insurance,78.85
2026-04,Insurance,76.8
2026-05,Insurance,74.68
2026-06,Insurance,72.63
2026-07,Insurance,70.51
2026-08,Insurance,68.4
2026-09,Insurance,66.35
2026-10,Insurance,64.23
2025-11,Travel,58.1
2025-12,Travel,57.6
2026-01,Travel,57.11
2026-02,Travel,56.66
2026-03,Travel,56.17
2026-04,Travel,55.69
2026-05,Travel,55.19
2026-06,Travel,54.72
2026-07,Travel,54.22
2026-08,Travel,53.73
2026-09,Travel,53.25
2026-10,Travel,52.75
2025-11,Bills,157.49
2025-12,Bills,158.31
2026-01,Bills,159.13
2026-02,Bills,159.87
2026-03,Bills,160.69
2026-04,Bills,161.49
2026-05,Bills,162.31
2026-06,Bills,163.11
2026-07,Bills,163.93
2026-08,Bills,164.75
2026-09,Bills,165.54
2026-10,Bills,166.36
2025-11,Family,62.76
2025-12,Family,63.12
2026-01,Family,63.47
2026-02,Family,63.79
2026-03,Family,64.14
2026-04,Family,64.49
2026-05,Family,64.84
2026-06,Family,65.18
2026-07,Family,65.54
2026-08,Family,65.89
2026-09,Family,66.23
2026-10,Family,66.59
2025-11,Other,38.93
2025-12,Other,37.47
2026-01,Other,36.01
2026-02,Other,34.69
2026-03,Other,33.23
2026-04,Other,31.82
2026-05,Other,30.36
2026-06,Other,28.95
2026-07,Other,27.49
2026-08,Other,26.03
2026-09,Other,24.61
2026-10,Other,23.15
2025-11,Entertainment,92.92
2025-12,Entertainment,94.69
2026-01,Entertainment,96.45
2026-02,Entertainment,98.05
2026-03,Entertainment,99.82
2026-04,Entertainment,101.53
2026-05,Entertainment,103.29
2026-06,Entertainment,105.0
2026-07,Entertainment,106.77
2026-08,Entertainment,108.54
2026-09,Entertainment,110.24
2026-10,Entertainment,112.01
