Date,Category,Predicted_Spending
2025-12,Food,4850.03
2026-01,Food,4872.38
2026-02,Food,4892.57
2026-03,Food,4914.92
2026-04,Food,4936.55
2026-05,Food,4958.9
2026-06,Food,4980.53
2026-07,Food,5002.88
2026-08,Food,5025.23
2026-09,Food,5046.86
2026-10,Food,5069.21
2026-11,Food,5090.84
2025-12,Education,5148.95
2026-01,Education,5157.74
2026-02,Education,5165.68
2026-03,Education,5174.46
2026-04,Education,5182.97
2026-05,Education,5191.76
2026-06,Education,5200.26
2026-07,Education,5209.05
2026-08,Education,5217.84
2026-09,Education,5226.34
2026-10,Education,5235.13
2026-11,Education,5243.64
2025-12,Transport,3869.35
2026-01,Transport,3812.29
2026-02,Transport,3760.76
2026-03,Transport,3703.71
2026-04,Transport,3648.5
2026-05,Transport,3591.45
2026-06,Transport,3536.24
2026-07,Transport,3479.18
2026-08,Transport,3422.13
2026-09,Transport,3366.92
2026-10,Transport,3309.87
2026-11,Transport,3254.66
2025-12,Health,5837.46
2026-01,Health,5858.5
2026-02,Health,5877.51
2026-03,Health,5898.55
2026-04,Health,5918.92
2026-05,Health,5939.96
2026-06,Health,5960.32
2026-07,Health,5981.37
2026-08,Health,6002.41
2026-09,Health,6022.78
2026-10,Health,6043.82
2026-11,Health,6064.18
2025-12,Grocery,2121.58
2026-01,Grocery,1963.43
2026-02,Grocery,1820.58
2026-03,Grocery,1662.42
2026-04,Grocery,1509.37
2026-05,Grocery,1351.22
2026-06,Grocery,1198.17
2026-07,Grocery,1040.01
2026-08,Grocery,881.86
2026-09,Grocery,728.81
2026-10,Grocery,570.66
2026-11,Grocery,417.6
2025-12,Insurance,6132.5
2026-01,Insurance,5938.65
2026-02,Insurance,5763.56
2026-03,Insurance,5569.7
2026-04,Insurance,5382.11
2026-05,Insurance,5188.25
2026-06,Insurance,5000.65
2026-07,Insurance,4806.8
2026-08,Insurance,4612.95
2026-09,Insurance,4425.35
2026-10,Insurance,4231.5
2026-11,Insurance,4043.9
2025-12,Travel,3997.37
2026-01,Travel,3934.17
2026-02,Travel,3877.08
2026-03,Travel,3813.89
2026-04,Travel,3752.73
2026-05,Travel,3689.53
2026-06,Travel,3628.37
2026-07,Travel,3565.17
2026-08,Travel,3501.97
2026-09,Travel,3440.81
2026-10,Travel,3377.61
2026-11,Travel,3316.45
2025-12,Bills,11210.58
2026-01,Bills,11219.44
2026-02,Bills,11227.44
2026-03,Bills,11236.3
2026-04,Bills,11244.88
2026-05,Bills,11253.74
2026-06,Bills,11262.31
2026-07,Bills,11271.17
2026-08,Bills,11280.03
2026-09,Bills,11288.61
2026-10,Bills,11297.47
2026-11,Bills,11306.04
2025-12,Family,4460.06
2026-01,Family,4465.59
2026-02,Family,4470.57
2026-03,Family,4476.1
2026-04,Family,4481.44
2026-05,Family,4486.96
2026-06,Family,4492.31
2026-07,Family,4497.83
2026-08,Family,4503.35
2026-09,Family,4508.7
2026-10,Family,4514.22
2026-11,Family,4519.57
2025-12,Other,2641.75
2026-01,Other,2512.09
2026-02,Other,2394.98
2026-03,Other,2265.32
2026-04,Other,2139.84
2026-05,Other,2010.18
2026-06,Other,1884.7
2026-07,Other,1755.04
2026-08,Other,1625.38
2026-09,Other,1499.9
2026-10,Other,1370.24
2026-11,Other,1244.77
2025-12,Entertainment,6702.12
2026-01,Entertainment,6808.64
2026-02,Entertainment,6904.85
2026-03,Entertainment,7011.37
2026-04,Entertainment,7114.45
2026-05,Entertainment,7220.97
2026-06,Entertainment,7324.06
2026-07,Entertainment,7430.57
2026-08,Entertainment,7537.09
2026-09,Entertainment,7640.18
2026-10,Entertainment,7746.7
2026-11,Entertainment,7849.78
