Date,Category,Predicted_Spending
2025-11,Food,234.46
2025-12,Food,236.46
2026-01,Food,238.46
2026-02,Food,240.27
2026-03,Food,242.27
2026-04,Food,244.21
2026-05,Food,246.21
2026-06,Food,248.15
2026-07,Food,250.15
2026-08,Food,252.15
2026-09,Food,254.09
2026-10,Food,256.09
2025-11,Education,252.24
2025-12,Education,253.79
2026-01,Education,255.35
2026-02,Education,256.76
2026-03,Education,258.31
2026-04,Education,259.82
2026-05,Education,261.38
2026-06,Education,262.89
2026-07,Education,264.44
2026-08,Education,266.0
2026-09,Education,267.51
2026-10,Education,269.07
2025-11,Transport,196.2
2025-12,Transport,194.71
2026-01,Transport,193.22
2026-02,Transport,191.87
2026-03,Transport,190.38
2026-04,Transport,188.94
2026-05,Transport,187.44
2026-06,Transport,186.0
2026-07,Transport,184.51
2026-08,Transport,183.02
2026-09,Transport,181.57
2026-10,Transport,180.08
2025-11,Health,286.02
2025-12,Health,288.29
2026-01,Health,290.57
2026-02,Health,292.62
2026-03,Health,294.89
2026-04,Health,297.09
2026-05,Health,299.36
2026-06,Health,301.56
2026-07,Health,303.83
2026-08,Health,306.1
2026-09,Health,308.3
2026-10,Health,310.57
2025-11,Grocery,110.96
2025-12,Grocery,104.53
2026-01,Grocery,98.09
2026-02,Grocery,92.28
2026-03,Grocery,85.85
2026-04,Grocery,79.63
2026-05,Grocery,73.2
2026-06,Grocery,66.97
2026-07,Grocery,60.54
2026-08,Grocery,54.11
2026-09,Grocery,47.89
2026-10,Grocery,41.46
2025-11,Insurance,302.89
2025-12,Insurance,295.53
2026-01,Insurance,288.17
2026-02,Insurance,281.52
2026-03,Insurance,274.16
2026-04,Insurance,267.03
2026-05,Insurance,259.67
2026-06,Insurance,252.55
2026-07,Insurance,245.18
2026-08,Insurance,237.82
2026-09,Insurance,230.7
2026-10,Insurance,223.34
2025-11,Travel,202.01
2025-12,Travel,200.29
2026-01,Travel,198.57
2026-02,Travel,197.02
2026-03,Travel,195.3
2026-04,Travel,193.64
2026-05,Travel,191.92
2026-06,Travel,190.25
2026-07,Travel,188.53
2026-08,Travel,186.81
2026-09,Travel,185.15
2026-10,Travel,183.43
2025-11,Bills,547.6
2025-12,Bills,550.46
2026-01,Bills,553.31
2026-02,Bills,555.89
2026-03,Bills,558.75
2026-04,Bills,561.51
2026-05,Bills,564.37
2026-06,Bills,567.13
2026-07,Bills,569.99
2026-08,Bills,572.84
2026-09,Bills,575.61
2026-10,Bills,578.46
2025-11,Family,218.23
2025-12,Family,219.46
2026-01,Family,220.69
2026-02,Family,221.81
2026-03,Family,223.04
2026-04,Family,224.23
2026-05,Family,225.46
2026-06,Family,226.65
2026-07,Family,227.88
2026-08,Family,229.11
2026-09,Family,230.3
2026-10,Family,231.53
2025-11,Other,135.37
2025-12,Other,130.29
2026-01,Other,125.21
2026-02,Other,120.63
2026-03,Other,115.55
2026-04,Other,110.64
2026-05,Other,105.56
2026-06,Other,100.65
2026-07,Other,95.57
2026-08,Other,90.49
2026-09,Other,85.58
2026-10,Other,80.5
2025-11,Entertainment,323.09
2025-12,Entertainment,329.23
2026-01,Entertainment,335.37
2026-02,Entertainment,340.92
2026-03,Entertainment,347.07
2026-04,Entertainment,353.01
2026-05,Entertainment,359.15
2026-06,Entertainment,365.1
2026-07,Entertainment,371.24
2026-08,Entertainment,377.39
2026-09,Entertainment,383.33
2026-10,Entertainment,389.47
