Date,Category,Predicted_Spending
2025-11,Food,58.29
2025-12,Food,58.66
2026-01,Food,59.04
2026-02,Food,59.38
2026-03,Food,59.76
2026-04,Food,60.12
2026-05,Food,60.5
2026-06,Food,60.86
2026-07,Food,61.24
2026-08,Food,61.61
2026-09,Food,61.98
2026-10,Food,62.35
2025-11,Education,66.29
2025-12,Education,66.69
2026-01,Education,67.1
2026-02,Education,67.47
2026-03,Education,67.88
2026-04,Education,68.28
2026-05,Education,68.69
2026-06,Education,69.08
2026-07,Education,69.49
2026-08,Education,69.9
2026-09,Education,70.3
2026-10,Education,70.71
2025-11,Transport,51.56
2025-12,Transport,51.17
2026-01,Transport,50.78
2026-02,Transport,50.42
2026-03,Transport,50.03
2026-04,Transport,49.65
2026-05,Transport,49.26
2026-06,Transport,48.88
2026-07,Transport,48.49
2026-08,Transport,48.09
2026-09,Transport,47.72
2026-10,Transport,47.32
2025-11,Health,75.16
2025-12,Health,75.76
2026-01,Health,76.36
2026-02,Health,76.9
2026-03,Health,77.49
2026-04,Health,78.07
2026-05,Health,78.67
2026-06,Health,79.25
2026-07,Health,79.84
2026-08,Health,80.44
2026-09,Health,81.02
2026-10,Health,81.62
2025-11,Grocery,29.16
2025-12,Grocery,27.47
2026-01,Grocery,25.78
2026-02,Grocery,24.25
2026-03,Grocery,22.56
2026-04,Grocery,20.93
2026-05,Grocery,19.24
2026-06,Grocery,17.6
2026-07,Grocery,15.91
2026-08,Grocery,14.22
2026-09,Grocery,12.58
2026-10,Grocery,10.89
2025-11,Insurance,79.6
2025-12,Insurance,77.66
2026-01,Insurance,75.73
2026-02,Insurance,73.98
2026-03,Insurance,72.05
2026-04,Insurance,70.17
2026-05,Insurance,68.24
2026-06,Insurance,66.37
2026-07,Insurance,64.43
2026-08,Insurance,62.5
2026-09,Insurance,60.63
2026-10,Insurance,58.69
2025-11,Travel,53.09
2025-12,Travel,52.64
2026-01,Travel,52.18
2026-02,Travel,51.78
2026-03,Travel,51.32
2026-04,Travel,50.89
2026-05,Travel,50.43
2026-06,Travel,50.0
2026-07,Travel,49.54
2026-08,Travel,49.09
2026-09,Travel,48.66
2026-10,Travel,48.2
2025-11,Bills,143.9
2025-12,Bills,144.65
2026-01,Bills,145.41
2026-02,Bills,146.08
2026-03,Bills,146.83
2026-04,Bills,147.56
2026-05,Bills,148.31
2026-06,Bills,149.04
2026-07,Bills,149.79
2026-08,Bills,150.54
2026-09,Bills,151.26
2026-10,Bills,152.01
2025-11,Family,57.35
2025-12,Family,57.67
2026-01,Family,58.0
2026-02,Family,58.29
2026-03,Family,58.61
2026-04,Family,58.92
2026-05,Family,59.25
2026-06,Family,59.56
2026-07,Family,59.88
2026-08,Family,60.21
2026-09,Family,60.52
2026-10,Family,60.84
2025-11,Other,35.57
2025-12,Other,34.24
2026-01,Other,32.9
2026-02,Other,31.7
2026-03,Other,30.37
2026-04,Other,29.07
2026-05,Other,27.74
2026-06,Other,26.45
2026-07,Other,25.12
2026-08,Other,23.78
2026-09,Other,22.49
2026-10,Other,21.16
2025-11,Entertainment,84.9
2025-12,Entertainment,86.52
2026-01,Entertainment,88.13
2026-02,Entertainment,89.59
2026-03,Entertainment,91.21
2026-04,Entertainment,92.77
2026-05,Entertainment,94.38
2026-06,Entertainment,95.94
2026-07,Entertainment,97.56
2026-08,Entertainment,99.17
2026-09,Entertainment,100.74
2026-10,Entertainment,102.35
