Date,Category,Predicted_Spending
2025-11,Food,33.36
2025-12,Food,33.57
2026-01,Food,33.79
2026-02,Food,33.98
2026-03,Food,34.2
2026-04,Food,34.41
2026-05,Food,34.62
2026-06,Food,34.83
2026-07,Food,35.04
2026-08,Food,35.26
2026-09,Food,35.47
2026-10,Food,35.68
2025-11,Education,37.93
2025-12,Education,38.17
2026-01,Education,38.4
2026-02,Education,38.61
2026-03,Education,38.85
2026-04,Education,39.07
2026-05,Education,39.31
2026-06,Education,39.53
2026-07,Education,39.77
2026-08,Education,40.0
2026-09,Education,40.23
2026-10,Education,40.46
2025-11,Transport,29.51
2025-12,Transport,29.28
2026-01,Transport,29.06
2026-02,Transport,28.86
2026-03,Transport,28.63
2026-04,Transport,28.41
2026-05,Transport,28.19
2026-06,Transport,27.97
2026-07,Transport,27.75
2026-08,Transport,27.52
2026-09,Transport,27.31
2026-10,Transport,27.08
2025-11,Health,43.01
2025-12,Health,43.36
2026-01,Health,43.7
2026-02,Health,44.01
2026-03,Health,44.35
2026-04,Health,44.68
2026-05,Health,45.02
2026-06,Health,45.35
2026-07,Health,45.69
2026-08,Health,46.03
2026-09,Health,46.36
2026-10,Health,46.71
2025-11,Grocery,16.69
2025-12,Grocery,15.72
2026-01,Grocery,14.75
2026-02,Grocery,13.88
2026-03,Grocery,12.91
2026-04,Grocery,11.98
2026-05,Grocery,11.01
2026-06,Grocery,10.07
2026-07,Grocery,9.1
2026-08,Grocery,8.14
2026-09,Grocery,7.2
2026-10,Grocery,6.23
2025-11,Insurance,45.55
2025-12,Insurance,44.44
2026-01,Insurance,43.34
2026-02,Insurance,42.34
2026-03,Insurance,41.23
2026-04,Insurance,40.16
2026-05,Insurance,39.05
2026-06,Insurance,37.98
2026-07,Insurance,36.87
2026-08,Insurance,35.77
2026-09,Insurance,34.69
2026-10,Insurance,33.59
2025-11,Travel,30.38
2025-12,Travel,30.12
2026-01,Travel,29.86
2026-02,Travel,29.63
2026-03,Travel,29.37
2026-04,Travel,29.12
2026-05,Travel,28.86
2026-06,Travel,28.61
2026-07,Travel,28.35
2026-08,Travel,28.09
2026-09,Travel,27.84
2026-10,Travel,27.59
2025-11,Bills,82.35
2025-12,Bills,82.78
2026-01,Bills,83.21
2026-02,Bills,83.6
2026-03,Bills,84.03
2026-04,Bills,84.44
2026-05,Bills,84.87
2026-06,Bills,85.29
2026-07,Bills,85.72
2026-08,Bills,86.15
2026-09,Bills,86.56
2026-10,Bills,86.99
2025-11,Family,32.82
2025-12,Family,33.0
2026-01,Family,33.19
2026-02,Family,33.36
2026-03,Family,33.54
2026-04,Family,33.72
2026-05,Family,33.91
2026-06,Family,34.08
2026-07,Family,34.27
2026-08,Family,34.45
2026-09,Family,34.63
2026-10,Family,34.82
2025-11,Other,20.36
2025-12,Other,19.59
2026-01,Other,18.83
2026-02,Other,18.14
2026-03,Other,17.38
2026-04,Other,16.64
2026-05,Other,15.88
2026-06,Other,15.14
2026-07,Other,14.37
2026-08,Other,13.61
2026-09,Other,12.87
2026-10,Other,12.11
2025-11,Entertainment,48.59
2025-12,Entertainment,49.51
2026-01,Entertainment,50.44
2026-02,Entertainment,51.27
2026-03,Entertainment,52.19
2026-04,Entertainment,53.09
2026-05,Entertainment,54.01
2026-06,Entertainment,54.91
2026-07,Entertainment,55.83
2026-08,Entertainment,56.75
2026-09,Entertainment,57.65
2026-10,Entertainment,58.57
