Date,Category,Predicted_Spending
2025-11,Food,310.79
2025-12,Food,313.45
2026-01,Food,316.1
2026-02,Food,318.5
2026-03,Food,321.15
2026-04,Food,323.72
2026-05,Food,326.37
2026-06,Food,328.94
2026-07,Food,331.59
2026-08,Food,334.25
2026-09,Food,336.82
2026-10,Food,339.47
2025-11,Education,334.36
2025-12,Education,336.42
2026-01,Education,338.49
2026-02,Education,340.35
2026-03,Education,342.42
2026-04,Education,344.42
2026-05,Education,346.48
2026-06,Education,348.48
2026-07,Education,350.54
2026-08,Education,352.61
2026-09,Education,354.6
2026-10,Education,356.67
2025-11,Transport,260.09
2025-12,Transport,258.11
2026-01,Transport,256.13
2026-02,Transport,254.34
2026-03,Transport,252.36
2026-04,Transport,250.45
2026-05,Transport,248.47
2026-06,Transport,246.56
2026-07,Transport,244.58
2026-08,Transport,242.6
2026-09,Transport,240.69
2026-10,Transport,238.71
2025-11,Health,379.15
2025-12,Health,382.16
2026-01,Health,385.17
2026-02,Health,387.89
2026-03,Health,390.9
2026-04,Health,393.81
2026-05,Health,396.83
2026-06,Health,399.74
2026-07,Health,402.75
2026-08,Health,405.76
2026-09,Health,408.68
2026-10,Health,411.69
2025-11,Grocery,147.08
2025-12,Grocery,138.56
2026-01,Grocery,130.03
2026-02,Grocery,122.33
2026-03,Grocery,113.81
2026-04,Grocery,105.56
2026-05,Grocery,97.03
2026-06,Grocery,88.78
2026-07,Grocery,80.25
2026-08,Grocery,71.73
2026-09,Grocery,63.48
2026-10,Grocery,54.95
2025-11,Insurance,401.51
2025-12,Insurance,391.75
2026-01,Insurance,381.99
2026-02,Insurance,373.18
2026-03,Insurance,363.42
2026-04,Insurance,353.97
2026-05,Insurance,344.22
2026-06,Insurance,334.77
2026-07,Insurance,325.01
2026-08,Insurance,315.25
2026-09,Insurance,305.81
2026-10,Insurance,296.05
2025-11,Travel,267.79
2025-12,Travel,265.51
2026-01,Travel,263.23
2026-02,Travel,261.17
2026-03,Travel,258.89
2026-04,Travel,256.68
2026-05,Travel,254.4
2026-06,Travel,252.2
2026-07,Travel,249.92
2026-08,Travel,247.64
2026-09,Travel,245.43
2026-10,Travel,243.15
2025-11,Bills,725.89
2025-12,Bills,729.67
2026-01,Bills,733.46
2026-02,Bills,736.88
2026-03,Bills,740.66
2026-04,Bills,744.33
2026-05,Bills,748.11
2026-06,Bills,751.78
2026-07,Bills,755.56
2026-08,Bills,759.35
2026-09,Bills,763.01
2026-10,Bills,766.8
2025-11,Family,289.29
2025-12,Family,290.92
2026-01,Family,292.55
2026-02,Family,294.02
2026-03,Family,295.65
2026-04,Family,297.23
2026-05,Family,298.86
2026-06,Family,300.44
2026-07,Family,302.07
2026-08,Family,303.7
2026-09,Family,305.28
2026-10,Family,306.91
2025-11,Other,179.44
2025-12,Other,172.71
2026-01,Other,165.98
2026-02,Other,159.9
2026-03,Other,153.17
2026-04,Other,146.66
2026-05,Other,139.93
2026-06,Other,133.42
2026-07,Other,126.69
2026-08,Other,119.96
2026-09,Other,113.44
2026-10,Other,106.72
2025-11,Entertainment,428.28
2025-12,Entertainment,436.42
2026-01,Entertainment,444.57
2026-02,Entertainment,451.92
2026-03,Entertainment,460.07
2026-04,Entertainment,467.95
2026-05,Entertainment,476.09
2026-06,Entertainment,483.97
2026-07,Entertainment,492.11
2026-08,Entertainment,500.26
2026-09,Entertainment,508.14
2026-10,Entertainment,516.28
