Date,Category,Predicted_Spending
2025-12,Food,1895.9
2026-01,Food,1904.64
2026-02,Food,1912.53
2026-03,Food,1921.27
2026-04,Food,1929.73
2026-05,Food,1938.46
2026-06,Food,1946.92
2026-07,Food,1955.66
2026-08,Food,1964.39
2026-09,Food,1972.85
2026-10,Food,1981.59
2026-11,Food,1990.04
2025-12,Education,2012.76
2026-01,Education,2016.19
2026-02,Education,2019.29
2026-03,Education,2022.73
2026-04,Education,2026.05
2026-05,Education,2029.49
2026-06,Education,2032.81
2026-07,Education,2036.25
2026-08,Education,2039.68
2026-09,Education,2043.01
2026-10,Education,2046.44
2026-11,Education,2049.77
2025-12,Transport,1512.55
2026-01,Transport,1490.25
2026-02,Transport,1470.1
2026-03,Transport,1447.8
2026-04,Transport,1426.22
2026-05,Transport,1403.92
2026-06,Transport,1382.34
2026-07,Transport,1360.03
2026-08,Transport,1337.73
2026-09,Transport,1316.15
2026-10,Transport,1293.85
2026-11,Transport,1272.26
2025-12,Health,2281.9
2026-01,Health,2290.12
2026-02,Health,2297.55
2026-03,Health,2305.78
2026-04,Health,2313.74
2026-05,Health,2321.97
2026-06,Health,2329.93
2026-07,Health,2338.15
2026-08,Health,2346.38
2026-09,Health,2354.34
2026-10,Health,2362.57
2026-11,Health,2370.53
2025-12,Grocery,829.34
2026-01,Grocery,767.52
2026-02,Grocery,711.67
2026-03,Grocery,649.85
2026-04,Grocery,590.02
2026-05,Grocery,528.2
2026-06,Grocery,468.37
2026-07,Grocery,406.55
2026-08,Grocery,344.72
2026-09,Grocery,284.9
2026-10,Grocery,223.07
2026-11,Grocery,163.24
2025-12,Insurance,2397.23
2026-01,Insurance,2321.45
2026-02,Insurance,2253.01
2026-03,Insurance,2177.23
2026-04,Insurance,2103.9
2026-05,Insurance,2028.12
2026-06,Insurance,1954.79
2026-07,Insurance,1879.01
2026-08,Insurance,1803.23
2026-09,Insurance,1729.9
2026-10,Insurance,1654.12
2026-11,Insurance,1580.78
2025-12,Travel,1562.59
2026-01,Travel,1537.89
2026-02,Travel,1515.58
2026-03,Travel,1490.87
2026-04,Travel,1466.96
2026-05,Travel,1442.26
2026-06,Travel,1418.35
2026-07,Travel,1393.65
2026-08,Travel,1368.94
2026-09,Travel,1345.03
2026-10,Travel,1320.33
2026-11,Travel,1296.42
2025-12,Bills,4382.28
2026-01,Bills,4385.75
2026-02,Bills,4388.87
2026-03,Bills,4392.34
2026-04,Bills,4395.69
2026-05,Bills,4399.15
2026-06,Bills,4402.51
2026-07,Bills,4405.97
2026-08,Bills,4409.43
2026-09,Bills,4412.78
2026-10,Bills,4416.25
2026-11,Bills,4419.6
2025-12,Family,1743.47
2026-01,Family,1745.62
2026-02,Family,1747.57
2026-03,Family,1749.73
2026-04,Family,1751.82
2026-05,Family,1753.98
2026-06,Family,1756.07
2026-07,Family,1758.23
2026-08,Family,1760.39
2026-09,Family,1762.48
2026-10,Family,1764.64
2026-11,Family,1766.73
2025-12,Other,1032.68
2026-01,Other,981.99
2026-02,Other,936.21
2026-03,Other,885.53
2026-04,Other,836.48
2026-05,Other,785.79
2026-06,Other,736.74
2026-07,Other,686.06
2026-08,Other,635.37
2026-09,Other,586.32
2026-10,Other,535.64
2026-11,Other,486.59
2025-12,Entertainment,2619.9
2026-01,Entertainment,2661.54
2026-02,Entertainment,2699.15
2026-03,Entertainment,2740.79
2026-04,Entertainment,2781.08
2026-05,Entertainment,2822.72
2026-06,Entertainment,2863.02
2026-07,Entertainment,2904.66
2026-08,Entertainment,2946.3
2026-09,Entertainment,2986.59
2026-10,Entertainment,3028.23
2026-11,Entertainment,3068.53
