Date,Category,Predicted_Spending
2025-11,Food,35.93
2025-12,Food,36.17
2026-01,Food,36.4
2026-02,Food,36.61
2026-03,Food,36.84
2026-04,Food,37.07
2026-05,Food,37.3
2026-06,Food,37.52
2026-07,Food,37.75
2026-08,Food,37.99
2026-09,Food,38.21
2026-10,Food,38.44
2025-11,Education,40.87
2025-12,Education,41.12
2026-01,Education,41.37
2026-02,Education,41.6
2026-03,Education,41.85
2026-04,Education,42.1
2026-05,Education,42.35
2026-06,Education,42.59
2026-07,Education,42.84
2026-08,Education,43.1
2026-09,Education,43.34
2026-10,Education,43.59
2025-11,Transport,31.79
2025-12,Transport,31.55
2026-01,Transport,31.3
2026-02,Transport,31.09
2026-03,Transport,30.84
2026-04,Transport,30.61
2026-05,Transport,30.37
2026-06,Transport,30.13
2026-07,Transport,29.89
2026-08,Transport,29.65
2026-09,Transport,29.42
2026-10,Transport,29.18
2025-11,Health,46.34
2025-12,Health,46.71
2026-01,Health,47.08
2026-02,Health,47.41
2026-03,Health,47.78
2026-04,Health,48.13
2026-05,Health,48.5
2026-06,Health,48.86
2026-07,Health,49.23
2026-08,Health,49.59
2026-09,Health,49.95
2026-10,Health,50.32
2025-11,Grocery,17.98
2025-12,Grocery,16.93
2026-01,Grocery,15.89
2026-02,Grocery,14.95
2026-03,Grocery,13.91
2026-04,Grocery,12.9
2026-05,Grocery,11.86
2026-06,Grocery,10.85
2026-07,Grocery,9.81
2026-08,Grocery,8.77
2026-09,Grocery,7.76
2026-10,Grocery,6.72
2025-11,Insurance,49.07
2025-12,Insurance,47.88
2026-01,Insurance,46.69
2026-02,Insurance,45.61
2026-03,Insurance,44.42
2026-04,Insurance,43.26
2026-05,Insurance,42.07
2026-06,Insurance,40.92
2026-07,Insurance,39.72
2026-08,Insurance,38.53
2026-09,Insurance,37.38
2026-10,Insurance,36.18
2025-11,Travel,32.73
2025-12,Travel,32.45
2026-01,Travel,32.17
2026-02,Travel,31.92
2026-03,Travel,31.64
2026-04,Travel,31.37
2026-05,Travel,31.09
2026-06,Travel,30.82
2026-07,Travel,30.55
2026-08,Travel,30.27
2026-09,Travel,30.0
2026-10,Travel,29.72
2025-11,Bills,88.72
2025-12,Bills,89.18
2026-01,Bills,89.65
2026-02,Bills,90.06
2026-03,Bills,90.53
2026-04,Bills,90.97
2026-05,Bills,91.44
2026-06,Bills,91.88
2026-07,Bills,92.35
2026-08,Bills,92.81
2026-09,Bills,93.26
2026-10,Bills,93.72
2025-11,Family,35.36
2025-12,Family,35.56
2026-01,Family,35.76
2026-02,Family,35.94
2026-03,Family,36.14
2026-04,Family,36.33
2026-05,Family,36.53
2026-06,Family,36.72
2026-07,Family,36.92
2026-08,Family,37.12
2026-09,Family,37.31
2026-10,Family,37.51
2025-11,Other,21.93
2025-12,Other,21.11
2026-01,Other,20.29
2026-02,Other,19.54
2026-03,Other,18.72
2026-04,Other,17.93
2026-05,Other,17.1
2026-06,Other,16.31
2026-07,Other,15.48
2026-08,Other,14.66
2026-09,Other,13.87
2026-10,Other,13.04
2025-11,Entertainment,52.35
2025-12,Entertainment,53.34
2026-01,Entertainment,54.34
2026-02,Entertainment,55.23
2026-03,Entertainment,56.23
2026-04,Entertainment,57.19
2026-05,Entertainment,58.19
2026-06,Entertainment,59.15
2026-07,Entertainment,60.15
2026-08,Entertainment,61.14
2026-09,Entertainment,62.11
2026-10,Entertainment,63.1
