Date,Category,Predicted_Spending
2025-11,Food,31.64
2025-12,Food,31.84
2026-01,Food,32.05
2026-02,Food,32.23
2026-03,Food,32.43
2026-04,Food,32.63
2026-05,Food,32.84
2026-06,Food,33.03
2026-07,Food,33.24
2026-08,Food,33.44
2026-09,Food,33.64
2026-10,Food,33.84
2025-11,Education,35.98
2025-12,Education,36.2
2026-01,Education,36.42
2026-02,Education,36.62
2026-03,Education,36.84
2026-04,Education,37.06
2026-05,Education,37.28
2026-06,Education,37.5
2026-07,Education,37.72
2026-08,Education,37.94
2026-09,Education,38.16
2026-10,Education,38.38
2025-11,Transport,27.99
2025-12,Transport,27.77
2026-01,Transport,27.56
2026-02,Transport,27.37
2026-03,Transport,27.16
2026-04,Transport,26.95
2026-05,Transport,26.74
2026-06,Transport,26.53
2026-07,Transport,26.32
2026-08,Transport,26.1
2026-09,Transport,25.9
2026-10,Transport,25.69
2025-11,Health,40.8
2025-12,Health,41.12
2026-01,Health,41.45
2026-02,Health,41.74
2026-03,Health,42.06
2026-04,Health,42.38
2026-05,Health,42.7
2026-06,Health,43.01
2026-07,Health,43.34
2026-08,Health,43.66
2026-09,Health,43.97
2026-10,Health,44.3
2025-11,Grocery,15.83
2025-12,Grocery,14.91
2026-01,Grocery,13.99
2026-02,Grocery,13.16
2026-03,Grocery,12.25
2026-04,Grocery,11.36
2026-05,Grocery,10.44
2026-06,Grocery,9.55
2026-07,Grocery,8.64
2026-08,Grocery,7.72
2026-09,Grocery,6.83
2026-10,Grocery,5.91
2025-11,Insurance,43.2
2025-12,Insurance,42.15
2026-01,Insurance,41.1
2026-02,Insurance,40.15
2026-03,Insurance,39.1
2026-04,Insurance,38.09
2026-05,Insurance,37.04
2026-06,Insurance,36.02
2026-07,Insurance,34.97
2026-08,Insurance,33.92
2026-09,Insurance,32.91
2026-10,Insurance,31.86
2025-11,Travel,28.81
2025-12,Travel,28.57
2026-01,Travel,28.32
2026-02,Travel,28.1
2026-03,Travel,27.86
2026-04,Travel,27.62
2026-05,Travel,27.37
2026-06,Travel,27.14
2026-07,Travel,26.89
2026-08,Travel,26.65
2026-09,Travel,26.41
2026-10,Travel,26.16
2025-11,Bills,78.11
2025-12,Bills,78.51
2026-01,Bills,78.92
2026-02,Bills,79.29
2026-03,Bills,79.7
2026-04,Bills,80.09
2026-05,Bills,80.5
2026-06,Bills,80.89
2026-07,Bills,81.3
2026-08,Bills,81.71
2026-09,Bills,82.1
2026-10,Bills,82.51
2025-11,Family,31.13
2025-12,Family,31.3
2026-01,Family,31.48
2026-02,Family,31.64
2026-03,Family,31.81
2026-04,Family,31.98
2026-05,Family,32.16
2026-06,Family,32.33
2026-07,Family,32.5
2026-08,Family,32.68
2026-09,Family,32.85
2026-10,Family,33.02
2025-11,Other,19.31
2025-12,Other,18.58
2026-01,Other,17.86
2026-02,Other,17.21
2026-03,Other,16.48
2026-04,Other,15.78
2026-05,Other,15.06
2026-06,Other,14.36
2026-07,Other,13.63
2026-08,Other,12.91
2026-09,Other,12.21
2026-10,Other,11.48
2025-11,Entertainment,46.08
2025-12,Entertainment,46.96
2026-01,Entertainment,47.84
2026-02,Entertainment,48.63
2026-03,Entertainment,49.5
2026-04,Entertainment,50.35
2026-05,Entertainment,51.23
2026-06,Entertainment,52.08
2026-07,Entertainment,52.95
2026-08,Entertainment,53.83
2026-09,Entertainment,54.68
2026-10,Entertainment,55.55
