Date,Category,Predicted_Spending
2025-11,Food,730517.73
2025-12,Food,736755.64
2026-01,Food,742993.55
2026-02,Food,748627.78
2026-03,Food,754865.69
2026-04,Food,760902.38
2026-05,Food,767140.28
2026-06,Food,773176.97
2026-07,Food,779414.88
2026-08,Food,785652.78
2026-09,Food,791689.47
2026-10,Food,797927.38
2025-11,Education,785912.18
2025-12,Education,790764.67
2026-01,Education,795617.16
2026-02,Education,800000.05
2026-03,Education,804852.54
2026-04,Education,809548.5
2026-05,Education,814400.99
2026-06,Education,819096.95
2026-07,Education,823949.44
2026-08,Education,828801.93
2026-09,Education,833497.89
2026-10,Education,838350.37
2025-11,Transport,611331.99
2025-12,Transport,606682.52
2026-01,Transport,602033.06
2026-02,Transport,597833.53
2026-03,Transport,593184.07
2026-04,Transport,588684.58
2026-05,Transport,584035.11
2026-06,Transport,579535.62
2026-07,Transport,574886.16
2026-08,Transport,570236.69
2026-09,Transport,565737.2
2026-10,Transport,561087.73
2025-11,Health,891183.06
2025-12,Health,898261.61
2026-01,Health,905340.16
2026-02,Health,911733.68
2026-03,Health,918812.23
2026-04,Health,925662.44
2026-05,Health,932740.99
2026-06,Health,939591.19
2026-07,Health,946669.74
2026-08,Health,953748.29
2026-09,Health,960598.5
2026-10,Health,967677.05
2025-11,Grocery,345717.44
2025-12,Grocery,325678.3
2026-01,Grocery,305639.16
2026-02,Grocery,287539.29
2026-03,Grocery,267500.15
2026-04,Grocery,248107.44
2026-05,Grocery,228068.3
2026-06,Grocery,208675.59
2026-07,Grocery,188636.45
2026-08,Grocery,168597.31
2026-09,Grocery,149204.59
2026-10,Grocery,129165.45
2025-11,Insurance,943746.09
2025-12,Insurance,920808.28
2026-01,Insurance,897870.47
2026-02,Insurance,877152.44
2026-03,Insurance,854214.63
2026-04,Insurance,832016.75
2026-05,Insurance,809078.93
2026-06,Insurance,786881.05
2026-07,Insurance,763943.24
2026-08,Insurance,741005.42
2026-09,Insurance,718807.54
2026-10,Insurance,695869.73
2025-11,Travel,629433.01
2025-12,Travel,624074.62
2026-01,Travel,618716.24
2026-02,Travel,613876.4
2026-03,Travel,608518.01
2026-04,Travel,603332.48
2026-05,Travel,597974.09
2026-06,Travel,592788.55
2026-07,Travel,587430.16
2026-08,Travel,582071.78
2026-09,Travel,576886.24
2026-10,Travel,571527.85
2025-11,Bills,1706200.32
2025-12,Bills,1715099.1
2026-01,Bills,1723997.89
2026-02,Bills,1732035.5
2026-03,Bills,1740934.28
2026-04,Bills,1749546.01
2026-05,Bills,1758444.79
2026-06,Bills,1767056.52
2026-07,Bills,1775955.3
2026-08,Bills,1784854.08
2026-09,Bills,1793465.81
2026-10,Bills,1802364.6
2025-11,Family,679969.39
2025-12,Family,683802.38
2026-01,Family,687635.36
2026-02,Family,691097.41
2026-03,Family,694930.4
2026-04,Family,698639.74
2026-05,Family,702472.73
2026-06,Family,706182.07
2026-07,Family,710015.05
2026-08,Family,713848.04
2026-09,Family,717557.38
2026-10,Family,721390.36
2025-11,Other,421775.52
2025-12,Other,405957.08
2026-01,Other,390138.64
2026-02,Other,375851.02
2026-03,Other,360032.58
2026-04,Other,344724.41
2026-05,Other,328905.97
2026-06,Other,313597.8
2026-07,Other,297779.36
2026-08,Other,281960.92
2026-09,Other,266652.75
2026-10,Other,250834.31
2025-11,Entertainment,1006673.94
2025-12,Entertainment,1025814.65
2026-01,Entertainment,1044955.37
2026-02,Entertainment,1062243.75
2026-03,Entertainment,1081384.46
2026-04,Entertainment,1099907.74
2026-05,Entertainment,1119048.45
2026-06,Entertainment,1137571.72
2026-07,Entertainment,1156712.43
2026-08,Entertainment,1175853.15
2026-09,Entertainment,1194376.42
2026-10,Entertainment,1213517.13
