Date,Category,Predicted_Spending
2025-11,Food,3931.25
2025-12,Food,3964.82
2026-01,Food,3998.39
2026-02,Food,4028.71
2026-03,Food,4062.27
2026-04,Food,4094.76
2026-05,Food,4128.33
2026-06,Food,4160.82
2026-07,Food,4194.39
2026-08,Food,4227.95
2026-09,Food,4260.44
2026-10,Food,4294.01
2025-11,Education,4229.35
2025-12,Education,4255.46
2026-01,Education,4281.58
2026-02,Education,4305.16
2026-03,Education,4331.28
2026-04,Education,4356.55
2026-05,Education,4382.66
2026-06,Education,4407.93
2026-07,Education,4434.05
2026-08,Education,4460.16
2026-09,Education,4485.43
2026-10,Education,4511.54
2025-11,Transport,3289.85
2025-12,Transport,3264.83
2026-01,Transport,3239.81
2026-02,Transport,3217.21
2026-03,Transport,3192.19
2026-04,Transport,3167.98
2026-05,Transport,3142.96
2026-06,Transport,3118.74
2026-07,Transport,3093.72
2026-08,Transport,3068.7
2026-09,Transport,3044.49
2026-10,Transport,3019.47
2025-11,Health,4795.86
2025-12,Health,4833.95
2026-01,Health,4872.05
2026-02,Health,4906.45
2026-03,Health,4944.55
2026-04,Health,4981.41
2026-05,Health,5019.5
2026-06,Health,5056.37
2026-07,Health,5094.46
2026-08,Health,5132.55
2026-09,Health,5169.42
2026-10,Health,5207.51
2025-11,Grocery,1860.46
2025-12,Grocery,1752.62
2026-01,Grocery,1644.78
2026-02,Grocery,1547.38
2026-03,Grocery,1439.54
2026-04,Grocery,1335.18
2026-05,Grocery,1227.34
2026-06,Grocery,1122.98
2026-07,Grocery,1015.14
2026-08,Grocery,907.3
2026-09,Grocery,802.94
2026-10,Grocery,695.1
2025-11,Insurance,5078.73
2025-12,Insurance,4955.29
2026-01,Insurance,4831.85
2026-02,Insurance,4720.36
2026-03,Insurance,4596.92
2026-04,Insurance,4477.46
2026-05,Insurance,4354.02
2026-06,Insurance,4234.56
2026-07,Insurance,4111.13
2026-08,Insurance,3987.69
2026-09,Insurance,3868.23
2026-10,Insurance,3744.79
2025-11,Travel,3387.26
2025-12,Travel,3358.43
2026-01,Travel,3329.59
2026-02,Travel,3303.55
2026-03,Travel,3274.71
2026-04,Travel,3246.81
2026-05,Travel,3217.97
2026-06,Travel,3190.06
2026-07,Travel,3161.23
2026-08,Travel,3132.39
2026-09,Travel,3104.49
2026-10,Travel,3075.65
2025-11,Bills,9181.84
2025-12,Bills,9229.73
2026-01,Bills,9277.61
2026-02,Bills,9320.87
2026-03,Bills,9368.76
2026-04,Bills,9415.1
2026-05,Bills,9462.99
2026-06,Bills,9509.33
2026-07,Bills,9557.22
2026-08,Bills,9605.11
2026-09,Bills,9651.45
2026-10,Bills,9699.34
2025-11,Family,3659.22
2025-12,Family,3679.85
2026-01,Family,3700.48
2026-02,Family,3719.11
2026-03,Family,3739.74
2026-04,Family,3759.7
2026-05,Family,3780.32
2026-06,Family,3800.29
2026-07,Family,3820.91
2026-08,Family,3841.54
2026-09,Family,3861.5
2026-10,Family,3882.13
2025-11,Other,2269.77
2025-12,Other,2184.64
2026-01,Other,2099.51
2026-02,Other,2022.62
2026-03,Other,1937.5
2026-04,Other,1855.12
2026-05,Other,1769.99
2026-06,Other,1687.61
2026-07,Other,1602.49
2026-08,Other,1517.36
2026-09,Other,1434.98
2026-10,Other,1349.85
2025-11,Entertainment,5417.37
2025-12,Entertainment,5520.37
2026-01,Entertainment,5623.38
2026-02,Entertainment,5716.42
2026-03,Entertainment,5819.42
2026-04,Entertainment,5919.1
2026-05,Entertainment,6022.11
2026-06,Entertainment,6121.79
2026-07,Entertainment,6224.79
2026-08,Entertainment,6327.8
2026-09,Entertainment,6427.48
2026-10,Entertainment,6530.49
