Date,Category,Predicted_Spending
2025-11,Food,6509.56
2025-12,Food,6551.6
2026-01,Food,6593.63
2026-02,Food,6631.59
2026-03,Food,6673.63
2026-04,Food,6714.3
2026-05,Food,6756.34
2026-06,Food,6797.01
2026-07,Food,6839.05
2026-08,Food,6881.08
2026-09,Food,6921.75
2026-10,Food,6963.79
2025-11,Education,7402.83
2025-12,Education,7448.54
2026-01,Education,7494.24
2026-02,Education,7535.53
2026-03,Education,7581.24
2026-04,Education,7625.47
2026-05,Education,7671.18
2026-06,Education,7715.41
2026-07,Education,7761.12
2026-08,Education,7806.83
2026-09,Education,7851.06
2026-10,Education,7896.77
2025-11,Transport,5758.39
2025-12,Transport,5714.59
2026-01,Transport,5670.8
2026-02,Transport,5631.24
2026-03,Transport,5587.44
2026-04,Transport,5545.06
2026-05,Transport,5501.27
2026-06,Transport,5458.88
2026-07,Transport,5415.09
2026-08,Transport,5371.29
2026-09,Transport,5328.91
2026-10,Transport,5285.12
2025-11,Health,8394.42
2025-12,Health,8461.09
2026-01,Health,8527.77
2026-02,Health,8587.99
2026-03,Health,8654.67
2026-04,Health,8719.19
2026-05,Health,8785.87
2026-06,Health,8850.39
2026-07,Health,8917.07
2026-08,Health,8983.75
2026-09,Health,9048.27
2026-10,Health,9114.95
2025-11,Grocery,3256.45
2025-12,Grocery,3067.7
2026-01,Grocery,2878.94
2026-02,Grocery,2708.45
2026-03,Grocery,2519.69
2026-04,Grocery,2337.03
2026-05,Grocery,2148.27
2026-06,Grocery,1965.6
2026-07,Grocery,1776.84
2026-08,Grocery,1588.09
2026-09,Grocery,1405.42
2026-10,Grocery,1216.66
2025-11,Insurance,8889.53
2025-12,Insurance,8673.47
2026-01,Insurance,8457.41
2026-02,Insurance,8262.26
2026-03,Insurance,8046.2
2026-04,Insurance,7837.11
2026-05,Insurance,7621.05
2026-06,Insurance,7411.96
2026-07,Insurance,7195.89
2026-08,Insurance,6979.83
2026-09,Insurance,6770.74
2026-10,Insurance,6554.68
2025-11,Travel,5928.89
2025-12,Travel,5878.41
2026-01,Travel,5827.94
2026-02,Travel,5782.35
2026-03,Travel,5731.88
2026-04,Travel,5683.04
2026-05,Travel,5632.56
2026-06,Travel,5583.72
2026-07,Travel,5533.25
2026-08,Travel,5482.77
2026-09,Travel,5433.93
2026-10,Travel,5383.46
2025-11,Bills,16071.4
2025-12,Bills,16155.22
2026-01,Bills,16239.04
2026-02,Bills,16314.75
2026-03,Bills,16398.57
2026-04,Bills,16479.69
2026-05,Bills,16563.51
2026-06,Bills,16644.63
2026-07,Bills,16728.45
2026-08,Bills,16812.27
2026-09,Bills,16893.39
2026-10,Bills,16977.21
2025-11,Family,6404.91
2025-12,Family,6441.01
2026-01,Family,6477.12
2026-02,Family,6509.73
2026-03,Family,6545.83
2026-04,Family,6580.77
2026-05,Family,6616.88
2026-06,Family,6651.82
2026-07,Family,6687.92
2026-08,Family,6724.03
2026-09,Family,6758.97
2026-10,Family,6795.07
2025-11,Other,3972.88
2025-12,Other,3823.88
2026-01,Other,3674.88
2026-02,Other,3540.29
2026-03,Other,3391.29
2026-04,Other,3247.1
2026-05,Other,3098.1
2026-06,Other,2953.91
2026-07,Other,2804.91
2026-08,Other,2655.91
2026-09,Other,2511.71
2026-10,Other,2362.71
2025-11,Entertainment,9482.27
2025-12,Entertainment,9662.57
2026-01,Entertainment,9842.86
2026-02,Entertainment,10005.71
2026-03,Entertainment,10186.0
2026-04,Entertainment,10360.48
2026-05,Entertainment,10540.78
2026-06,Entertainment,10715.25
2026-07,Entertainment,10895.55
2026-08,Entertainment,11075.84
2026-09,Entertainment,11250.32
2026-10,Entertainment,11430.62
