Date,Category,Predicted_Spending
2025-11,Food,60805.79
2025-12,Food,61198.41
2026-01,Food,61591.04
2026-02,Food,61945.67
2026-03,Food,62338.3
2026-04,Food,62718.26
2026-05,Food,63110.89
2026-06,Food,63490.85
2026-07,Food,63883.48
2026-08,Food,64276.1
2026-09,Food,64656.07
2026-10,Food,65048.69
2025-11,Education,69149.78
2025-12,Education,69576.73
2026-01,Education,70003.68
2026-02,Education,70389.32
2026-03,Education,70816.27
2026-04,Education,71229.46
2026-05,Education,71656.41
2026-06,Education,72069.59
2026-07,Education,72496.55
2026-08,Education,72923.5
2026-09,Education,73336.68
2026-10,Education,73763.64
2025-11,Transport,53789.05
2025-12,Transport,53379.96
2026-01,Transport,52970.87
2026-02,Transport,52601.37
2026-03,Transport,52192.28
2026-04,Transport,51796.38
2026-05,Transport,51387.29
2026-06,Transport,50991.4
2026-07,Transport,50582.3
2026-08,Transport,50173.21
2026-09,Transport,49777.32
2026-10,Transport,49368.23
2025-11,Health,78412.21
2025-12,Health,79035.03
2026-01,Health,79657.84
2026-02,Health,80220.39
2026-03,Health,80843.21
2026-04,Health,81445.93
2026-05,Health,82068.75
2026-06,Health,82671.48
2026-07,Health,83294.29
2026-08,Health,83917.11
2026-09,Health,84519.84
2026-10,Health,85142.66
2025-11,Grocery,30418.52
2025-12,Grocery,28655.34
2026-01,Grocery,26892.16
2026-02,Grocery,25299.62
2026-03,Grocery,23536.44
2026-04,Grocery,21830.14
2026-05,Grocery,20066.96
2026-06,Grocery,18360.66
2026-07,Grocery,16597.49
2026-08,Grocery,14834.31
2026-09,Grocery,13128.01
2026-10,Grocery,11364.83
2025-11,Insurance,83037.05
2025-12,Insurance,81018.83
2026-01,Insurance,79000.61
2026-02,Insurance,77177.7
2026-03,Insurance,75159.48
2026-04,Insurance,73206.36
2026-05,Insurance,71188.14
2026-06,Insurance,69235.02
2026-07,Insurance,67216.8
2026-08,Insurance,65198.58
2026-09,Insurance,63245.46
2026-10,Insurance,61227.24
2025-11,Travel,55381.7
2025-12,Travel,54910.23
2026-01,Travel,54438.77
2026-02,Travel,54012.92
2026-03,Travel,53541.46
2026-04,Travel,53085.2
2026-05,Travel,52613.73
2026-06,Travel,52157.48
2026-07,Travel,51686.01
2026-08,Travel,51214.54
2026-09,Travel,50758.28
2026-10,Travel,50286.82
2025-11,Bills,150122.84
2025-12,Bills,150905.82
2026-01,Bills,151688.79
2026-02,Bills,152395.99
2026-03,Bills,153178.97
2026-04,Bills,153936.68
2026-05,Bills,154719.66
2026-06,Bills,155477.37
2026-07,Bills,156260.35
2026-08,Bills,157043.32
2026-09,Bills,157801.04
2026-10,Bills,158584.01
2025-11,Family,59828.23
2025-12,Family,60165.48
2026-01,Family,60502.73
2026-02,Family,60807.34
2026-03,Family,61144.59
2026-04,Family,61470.97
2026-05,Family,61808.22
2026-06,Family,62134.59
2026-07,Family,62471.84
2026-08,Family,62809.09
2026-09,Family,63135.47
2026-10,Family,63472.72
2025-11,Other,37110.61
2025-12,Other,35718.8
2026-01,Other,34326.99
2026-02,Other,33069.87
2026-03,Other,31678.06
2026-04,Other,30331.14
2026-05,Other,28939.33
2026-06,Other,27592.42
2026-07,Other,26200.61
2026-08,Other,24808.8
2026-09,Other,23461.88
2026-10,Other,22070.07
2025-11,Entertainment,88573.86
2025-12,Entertainment,90257.99
2026-01,Entertainment,91942.12
2026-02,Entertainment,93463.26
2026-03,Entertainment,95147.39
2026-04,Entertainment,96777.19
2026-05,Entertainment,98461.32
2026-06,Entertainment,100091.12
2026-07,Entertainment,101775.25
2026-08,Entertainment,103459.37
2026-09,Entertainment,105089.17
2026-10,Entertainment,106773.3
