Date,Category,Predicted_Spending
2025-12,Food,12239.45
2026-01,Food,12295.85
2026-02,Food,12346.8
2026-03,Food,12403.2
2026-04,Food,12457.79
2026-05,Food,12514.19
2026-06,Food,12568.78
2026-07,Food,12625.18
2026-08,Food,12681.59
2026-09,Food,12736.17
2026-10,Food,12792.58
2026-11,Food,12847.16
2025-12,Education,12993.8
2026-01,Education,13015.98
2026-02,Education,13036.01
2026-03,Education,13058.19
2026-04,Education,13079.65
2026-05,Education,13101.83
2026-06,Education,13123.29
2026-07,Education,13145.47
2026-08,Education,13167.65
2026-09,Education,13189.11
2026-10,Education,13211.29
2026-11,Education,13232.75
2025-12,Transport,9764.62
2026-01,Transport,9620.64
2026-02,Transport,9490.6
2026-03,Transport,9346.62
2026-04,Transport,9207.29
2026-05,Transport,9063.32
2026-06,Transport,8923.98
2026-07,Transport,8780.01
2026-08,Transport,8636.03
2026-09,Transport,8496.7
2026-10,Transport,8352.72
2026-11,Transport,8213.39
2025-12,Health,14731.31
2026-01,Health,14784.42
2026-02,Health,14832.38
2026-03,Health,14885.49
2026-04,Health,14936.88
2026-05,Health,14989.98
2026-06,Health,15041.38
2026-07,Health,15094.48
2026-08,Health,15147.59
2026-09,Health,15198.98
2026-10,Health,15252.08
2026-11,Health,15303.47
2025-12,Grocery,5353.98
2026-01,Grocery,4954.87
2026-02,Grocery,4594.38
2026-03,Grocery,4195.27
2026-04,Grocery,3809.03
2026-05,Grocery,3409.91
2026-06,Grocery,3023.68
2026-07,Grocery,2624.56
2026-08,Grocery,2225.45
2026-09,Grocery,1839.21
2026-10,Grocery,1440.1
2026-11,Grocery,1053.86
2025-12,Insurance,15475.88
2026-01,Insurance,14986.68
2026-02,Insurance,14544.82
2026-03,Insurance,14055.61
2026-04,Insurance,13582.19
2026-05,Insurance,13092.99
2026-06,Insurance,12619.57
2026-07,Insurance,12130.37
2026-08,Insurance,11641.16
2026-09,Insurance,11167.74
2026-10,Insurance,10678.54
2026-11,Insurance,10205.12
2025-12,Travel,10087.68
2026-01,Travel,9928.2
2026-02,Travel,9784.15
2026-03,Travel,9624.66
2026-04,Travel,9470.32
2026-05,Travel,9310.83
2026-06,Travel,9156.49
2026-07,Travel,8997.01
2026-08,Travel,8837.52
2026-09,Travel,8683.18
2026-10,Travel,8523.69
2026-11,Travel,8369.35
2025-12,Bills,28290.83
2026-01,Bills,28313.19
2026-02,Bills,28333.38
2026-03,Bills,28355.74
2026-04,Bills,28377.38
2026-05,Bills,28399.74
2026-06,Bills,28421.38
2026-07,Bills,28443.74
2026-08,Bills,28466.1
2026-09,Bills,28487.74
2026-10,Bills,28510.1
2026-11,Bills,28531.74
2025-12,Family,11255.34
2026-01,Family,11269.28
2026-02,Family,11281.87
2026-03,Family,11295.8
2026-04,Family,11309.29
2026-05,Family,11323.23
2026-06,Family,11336.72
2026-07,Family,11350.65
2026-08,Family,11364.59
2026-09,Family,11378.08
2026-10,Family,11392.01
2026-11,Family,11405.5
2025-12,Other,6666.68
2026-01,Other,6339.47
2026-02,Other,6043.93
2026-03,Other,5716.72
2026-04,Other,5400.06
2026-05,Other,5072.86
2026-06,Other,4756.2
2026-07,Other,4429.0
2026-08,Other,4101.79
2026-09,Other,3785.13
2026-10,Other,3457.93
2026-11,Other,3141.27
2025-12,Entertainment,16913.36
2026-01,Entertainment,17182.17
2026-02,Entertainment,17424.97
2026-03,Entertainment,17693.78
2026-04,Entertainment,17953.91
2026-05,Entertainment,18222.72
2026-06,Entertainment,18482.86
2026-07,Entertainment,18751.67
2026-08,Entertainment,19020.48
2026-09,Entertainment,19280.62
2026-10,Entertainment,19549.43
2026-11,Entertainment,19809.57
