Date,Category,Predicted_Spending
2025-12,Food,83589.33
2026-01,Food,83974.54
2026-02,Food,84322.48
2026-03,Food,84707.69
2026-04,Food,85080.48
2026-05,Food,85465.7
2026-06,Food,85838.48
2026-07,Food,86223.7
2026-08,Food,86608.91
2026-09,Food,86981.7
2026-10,Food,87366.92
2026-11,Food,87739.71
2025-12,Education,88741.19
2026-01,Education,88892.65
2026-02,Education,89029.46
2026-03,Education,89180.93
2026-04,Education,89327.51
2026-05,Education,89478.97
2026-06,Education,89625.55
2026-07,Education,89777.02
2026-08,Education,89928.49
2026-09,Education,90075.07
2026-10,Education,90226.53
2026-11,Education,90373.11
2025-12,Transport,66687.46
2026-01,Transport,65704.18
2026-02,Transport,64816.05
2026-03,Transport,63832.77
2026-04,Transport,62881.2
2026-05,Transport,61897.92
2026-06,Transport,60946.36
2026-07,Transport,59963.07
2026-08,Transport,58979.79
2026-09,Transport,58028.23
2026-10,Transport,57044.94
2026-11,Transport,56093.38
2025-12,Health,100607.52
2026-01,Health,100970.2
2026-02,Health,101297.78
2026-03,Health,101660.46
2026-04,Health,102011.44
2026-05,Health,102374.12
2026-06,Health,102725.1
2026-07,Health,103087.78
2026-08,Health,103450.45
2026-09,Health,103801.43
2026-10,Health,104164.11
2026-11,Health,104515.09
2025-12,Grocery,36565.03
2026-01,Grocery,33839.29
2026-02,Grocery,31377.32
2026-03,Grocery,28651.58
2026-04,Grocery,26013.76
2026-05,Grocery,23288.02
2026-06,Grocery,20650.2
2026-07,Grocery,17924.45
2026-08,Grocery,15198.71
2026-09,Grocery,12560.89
2026-10,Grocery,9835.15
2026-11,Grocery,7197.33
2025-12,Insurance,105692.54
2026-01,Insurance,102351.53
2026-02,Insurance,99333.84
2026-03,Insurance,95992.83
2026-04,Insurance,92759.6
2026-05,Insurance,89418.59
2026-06,Insurance,86185.36
2026-07,Insurance,82844.35
2026-08,Insurance,79503.34
2026-09,Insurance,76270.11
2026-10,Insurance,72929.1
2026-11,Insurance,69695.87
2025-12,Travel,68893.85
2026-01,Travel,67804.64
2026-02,Travel,66820.84
2026-03,Travel,65731.63
2026-04,Travel,64677.55
2026-05,Travel,63588.34
2026-06,Travel,62534.27
2026-07,Travel,61445.06
2026-08,Travel,60355.85
2026-09,Travel,59301.77
2026-10,Travel,58212.56
2026-11,Travel,57158.49
2025-12,Bills,193212.25
2026-01,Bills,193364.95
2026-02,Bills,193502.88
2026-03,Bills,193655.59
2026-04,Bills,193803.37
2026-05,Bills,193956.08
2026-06,Bills,194103.86
2026-07,Bills,194256.57
2026-08,Bills,194409.27
2026-09,Bills,194557.05
2026-10,Bills,194709.76
2026-11,Bills,194857.54
2025-12,Family,76868.37
2026-01,Family,76963.55
2026-02,Family,77049.52
2026-03,Family,77144.71
2026-04,Family,77236.82
2026-05,Family,77332.0
2026-06,Family,77424.11
2026-07,Family,77519.29
2026-08,Family,77614.47
2026-09,Family,77706.58
2026-10,Family,77801.77
2026-11,Family,77893.88
2025-12,Other,45530.08
2026-01,Other,43295.41
2026-02,Other,41277.0
2026-03,Other,39042.33
2026-04,Other,36879.75
2026-05,Other,34645.08
2026-06,Other,32482.5
2026-07,Other,30247.83
2026-08,Other,28013.16
2026-09,Other,25850.58
2026-10,Other,23615.91
2026-11,Other,21453.33
2025-12,Entertainment,115509.8
2026-01,Entertainment,117345.64
2026-02,Entertainment,119003.82
2026-03,Entertainment,120839.66
2026-04,Entertainment,122616.28
2026-05,Entertainment,124452.12
2026-06,Entertainment,126228.74
2026-07,Entertainment,128064.58
2026-08,Entertainment,129900.41
2026-09,Entertainment,131677.03
2026-10,Entertainment,133512.87
2026-11,Entertainment,135289.49
