Date,Category,Predicted_Spending
2025-11,Food,805.15
2025-12,Food,812.03
2026-01,Food,818.9
2026-02,Food,825.11
2026-03,Food,831.99
2026-04,Food,838.64
2026-05,Food,845.52
2026-06,Food,852.17
2026-07,Food,859.04
2026-08,Food,865.92
2026-09,Food,872.57
2026-10,Food,879.45
2025-11,Education,866.21
2025-12,Education,871.55
2026-01,Education,876.9
2026-02,Education,881.73
2026-03,Education,887.08
2026-04,Education,892.26
2026-05,Education,897.6
2026-06,Education,902.78
2026-07,Education,908.13
2026-08,Education,913.48
2026-09,Education,918.65
2026-10,Education,924.0
2025-11,Transport,673.79
2025-12,Transport,668.66
2026-01,Transport,663.54
2026-02,Transport,658.91
2026-03,Transport,653.79
2026-04,Transport,648.83
2026-05,Transport,643.7
2026-06,Transport,638.74
2026-07,Transport,633.62
2026-08,Transport,628.5
2026-09,Transport,623.54
2026-10,Transport,618.41
2025-11,Health,982.23
2025-12,Health,990.03
2026-01,Health,997.83
2026-02,Health,1004.88
2026-03,Health,1012.68
2026-04,Health,1020.23
2026-05,Health,1028.03
2026-06,Health,1035.59
2026-07,Health,1043.39
2026-08,Health,1051.19
2026-09,Health,1058.74
2026-10,Health,1066.54
2025-11,Grocery,381.04
2025-12,Grocery,358.95
2026-01,Grocery,336.86
2026-02,Grocery,316.92
2026-03,Grocery,294.83
2026-04,Grocery,273.46
2026-05,Grocery,251.37
2026-06,Grocery,230.0
2026-07,Grocery,207.91
2026-08,Grocery,185.82
2026-09,Grocery,164.45
2026-10,Grocery,142.36
2025-11,Insurance,1040.16
2025-12,Insurance,1014.88
2026-01,Insurance,989.6
2026-02,Insurance,966.77
2026-03,Insurance,941.49
2026-04,Insurance,917.02
2026-05,Insurance,891.74
2026-06,Insurance,867.27
2026-07,Insurance,841.99
2026-08,Insurance,816.71
2026-09,Insurance,792.24
2026-10,Insurance,766.96
2025-11,Travel,693.74
2025-12,Travel,687.83
2026-01,Travel,681.93
2026-02,Travel,676.59
2026-03,Travel,670.69
2026-04,Travel,664.97
2026-05,Travel,659.07
2026-06,Travel,653.35
2026-07,Travel,647.45
2026-08,Travel,641.54
2026-09,Travel,635.82
2026-10,Travel,629.92
2025-11,Bills,1880.52
2025-12,Bills,1890.32
2026-01,Bills,1900.13
2026-02,Bills,1908.99
2026-03,Bills,1918.8
2026-04,Bills,1928.29
2026-05,Bills,1938.1
2026-06,Bills,1947.59
2026-07,Bills,1957.4
2026-08,Bills,1967.2
2026-09,Bills,1976.7
2026-10,Bills,1986.5
2025-11,Family,749.44
2025-12,Family,753.66
2026-01,Family,757.89
2026-02,Family,761.7
2026-03,Family,765.93
2026-04,Family,770.02
2026-05,Family,774.24
2026-06,Family,778.33
2026-07,Family,782.55
2026-08,Family,786.78
2026-09,Family,790.87
2026-10,Family,795.09
2025-11,Other,464.87
2025-12,Other,447.43
2026-01,Other,430.0
2026-02,Other,414.25
2026-03,Other,396.82
2026-04,Other,379.94
2026-05,Other,362.51
2026-06,Other,345.64
2026-07,Other,328.2
2026-08,Other,310.77
2026-09,Other,293.9
2026-10,Other,276.46
2025-11,Entertainment,1109.52
2025-12,Entertainment,1130.62
2026-01,Entertainment,1151.71
2026-02,Entertainment,1170.77
2026-03,Entertainment,1191.86
2026-04,Entertainment,1212.28
2026-05,Entertainment,1233.38
2026-06,Entertainment,1253.79
2026-07,Entertainment,1274.89
2026-08,Entertainment,1295.98
2026-09,Entertainment,1316.4
2026-10,Entertainment,1337.5
