Date,Category,Predicted_Spending
2025-11,Food,447.1
2025-12,Food,450.92
2026-01,Food,454.74
2026-02,Food,458.19
2026-03,Food,462.01
2026-04,Food,465.7
2026-05,Food,469.52
2026-06,Food,473.21
2026-07,Food,477.03
2026-08,Food,480.85
2026-09,Food,484.54
2026-10,Food,488.36
2025-11,Education,481.01
2025-12,Education,483.98
2026-01,Education,486.95
2026-02,Education,489.63
2026-03,Education,492.6
2026-04,Education,495.47
2026-05,Education,498.44
2026-06,Education,501.32
2026-07,Education,504.29
2026-08,Education,507.26
2026-09,Education,510.13
2026-10,Education,513.1
2025-11,Transport,374.16
2025-12,Transport,371.31
2026-01,Transport,368.47
2026-02,Transport,365.9
2026-03,Transport,363.05
2026-04,Transport,360.3
2026-05,Transport,357.45
2026-06,Transport,354.7
2026-07,Transport,351.85
2026-08,Transport,349.01
2026-09,Transport,346.25
2026-10,Transport,343.41
2025-11,Health,545.44
2025-12,Health,549.77
2026-01,Health,554.1
2026-02,Health,558.02
2026-03,Health,562.35
2026-04,Health,566.54
2026-05,Health,570.87
2026-06,Health,575.07
2026-07,Health,579.4
2026-08,Health,583.73
2026-09,Health,587.92
2026-10,Health,592.25
2025-11,Grocery,211.59
2025-12,Grocery,199.33
2026-01,Grocery,187.06
2026-02,Grocery,175.98
2026-03,Grocery,163.72
2026-04,Grocery,151.85
2026-05,Grocery,139.59
2026-06,Grocery,127.72
2026-07,Grocery,115.45
2026-08,Grocery,103.19
2026-09,Grocery,91.32
2026-10,Grocery,79.05
2025-11,Insurance,577.61
2025-12,Insurance,563.57
2026-01,Insurance,549.53
2026-02,Insurance,536.85
2026-03,Insurance,522.81
2026-04,Insurance,509.23
2026-05,Insurance,495.19
2026-06,Insurance,481.6
2026-07,Insurance,467.56
2026-08,Insurance,453.52
2026-09,Insurance,439.94
2026-10,Insurance,425.9
2025-11,Travel,385.24
2025-12,Travel,381.96
2026-01,Travel,378.68
2026-02,Travel,375.72
2026-03,Travel,372.44
2026-04,Travel,369.26
2026-05,Travel,365.98
2026-06,Travel,362.81
2026-07,Travel,359.53
2026-08,Travel,356.25
2026-09,Travel,353.08
2026-10,Travel,349.8
2025-11,Bills,1044.26
2025-12,Bills,1049.71
2026-01,Bills,1055.15
2026-02,Bills,1060.07
2026-03,Bills,1065.52
2026-04,Bills,1070.79
2026-05,Bills,1076.23
2026-06,Bills,1081.51
2026-07,Bills,1086.95
2026-08,Bills,1092.4
2026-09,Bills,1097.67
2026-10,Bills,1103.12
2025-11,Family,416.17
2025-12,Family,418.51
2026-01,Family,420.86
2026-02,Family,422.98
2026-03,Family,425.32
2026-04,Family,427.59
2026-05,Family,429.94
2026-06,Family,432.21
2026-07,Family,434.56
2026-08,Family,436.9
2026-09,Family,439.17
2026-10,Family,441.52
2025-11,Other,258.14
2025-12,Other,248.46
2026-01,Other,238.78
2026-02,Other,230.04
2026-03,Other,220.35
2026-04,Other,210.98
2026-05,Other,201.3
2026-06,Other,191.93
2026-07,Other,182.25
2026-08,Other,172.57
2026-09,Other,163.2
2026-10,Other,153.52
2025-11,Entertainment,616.12
2025-12,Entertainment,627.84
2026-01,Entertainment,639.55
2026-02,Entertainment,650.13
2026-03,Entertainment,661.85
2026-04,Entertainment,673.19
2026-05,Entertainment,684.9
2026-06,Entertainment,696.24
2026-07,Entertainment,707.95
2026-08,Entertainment,719.67
2026-09,Entertainment,731.0
2026-10,Entertainment,742.72
