Date,Category,Predicted_Spending
2025-11,Food,76.88
2025-12,Food,77.54
2026-01,Food,78.19
2026-02,Food,78.79
2026-03,Food,79.44
2026-04,Food,80.08
2026-05,Food,80.73
2026-06,Food,81.37
2026-07,Food,82.03
2026-08,Food,82.68
2026-09,Food,83.32
2026-10,Food,83.97
2025-11,Education,82.71
2025-12,Education,83.22
2026-01,Education,83.73
2026-02,Education,84.19
2026-03,Education,84.7
2026-04,Education,85.2
2026-05,Education,85.71
2026-06,Education,86.2
2026-07,Education,86.71
2026-08,Education,87.22
2026-09,Education,87.72
2026-10,Education,88.23
2025-11,Transport,64.34
2025-12,Transport,63.85
2026-01,Transport,63.36
2026-02,Transport,62.92
2026-03,Transport,62.43
2026-04,Transport,61.95
2026-05,Transport,61.46
2026-06,Transport,60.99
2026-07,Transport,60.5
2026-08,Transport,60.01
2026-09,Transport,59.54
2026-10,Transport,59.05
2025-11,Health,93.79
2025-12,Health,94.53
2026-01,Health,95.28
2026-02,Health,95.95
2026-03,Health,96.7
2026-04,Health,97.42
2026-05,Health,98.16
2026-06,Health,98.88
2026-07,Health,99.63
2026-08,Health,100.37
2026-09,Health,101.09
2026-10,Health,101.84
2025-11,Grocery,36.38
2025-12,Grocery,34.27
2026-01,Grocery,32.17
2026-02,Grocery,30.26
2026-03,Grocery,28.15
2026-04,Grocery,26.11
2026-05,Grocery,24.0
2026-06,Grocery,21.96
2026-07,Grocery,19.85
2026-08,Grocery,17.74
2026-09,Grocery,15.7
2026-10,Grocery,13.59
2025-11,Insurance,99.32
2025-12,Insurance,96.91
2026-01,Insurance,94.49
2026-02,Insurance,92.31
2026-03,Insurance,89.9
2026-04,Insurance,87.56
2026-05,Insurance,85.15
2026-06,Insurance,82.81
2026-07,Insurance,80.4
2026-08,Insurance,77.98
2026-09,Insurance,75.65
2026-10,Insurance,73.23
2025-11,Travel,66.24
2025-12,Travel,65.68
2026-01,Travel,65.11
2026-02,Travel,64.6
2026-03,Travel,64.04
2026-04,Travel,63.5
2026-05,Travel,62.93
2026-06,Travel,62.39
2026-07,Travel,61.82
2026-08,Travel,61.26
2026-09,Travel,60.71
2026-10,Travel,60.15
2025-11,Bills,179.56
2025-12,Bills,180.5
2026-01,Bills,181.43
2026-02,Bills,182.28
2026-03,Bills,183.22
2026-04,Bills,184.12
2026-05,Bills,185.06
2026-06,Bills,185.97
2026-07,Bills,186.9
2026-08,Bills,187.84
2026-09,Bills,188.75
2026-10,Bills,189.68
2025-11,Family,71.56
2025-12,Family,71.96
2026-01,Family,72.37
2026-02,Family,72.73
2026-03,Family,73.13
2026-04,Family,73.53
2026-05,Family,73.93
2026-06,Family,74.32
2026-07,Family,74.72
2026-08,Family,75.13
2026-09,Family,75.52
2026-10,Family,75.92
2025-11,Other,44.39
2025-12,Other,42.72
2026-01,Other,41.06
2026-02,Other,39.55
2026-03,Other,37.89
2026-04,Other,36.28
2026-05,Other,34.61
2026-06,Other,33.0
2026-07,Other,31.34
2026-08,Other,29.67
2026-09,Other,28.06
2026-10,Other,26.4
2025-11,Entertainment,105.94
2025-12,Entertainment,107.96
2026-01,Entertainment,109.97
2026-02,Entertainment,111.79
2026-03,Entertainment,113.81
2026-04,Entertainment,115.75
2026-05,Entertainment,117.77
2026-06,Entertainment,119.72
2026-07,Entertainment,121.73
2026-08,Entertainment,123.75
2026-09,Entertainment,125.7
2026-10,Entertainment,127.71
