Date,Category,Predicted_Spending
2025-11,Food,2579.03
2025-12,Food,2601.05
2026-01,Food,2623.07
2026-02,Food,2642.97
2026-03,Food,2664.99
2026-04,Food,2686.3
2026-05,Food,2708.32
2026-06,Food,2729.63
2026-07,Food,2751.66
2026-08,Food,2773.68
2026-09,Food,2794.99
2026-10,Food,2817.01
2025-11,Education,2774.59
2025-12,Education,2791.73
2026-01,Education,2808.86
2026-02,Education,2824.33
2026-03,Education,2841.46
2026-04,Education,2858.04
2026-05,Education,2875.17
2026-06,Education,2891.75
2026-07,Education,2908.88
2026-08,Education,2926.01
2026-09,Education,2942.59
2026-10,Education,2959.72
2025-11,Transport,2158.25
2025-12,Transport,2141.84
2026-01,Transport,2125.43
2026-02,Transport,2110.6
2026-03,Transport,2094.18
2026-04,Transport,2078.3
2026-05,Transport,2061.89
2026-06,Transport,2046.0
2026-07,Transport,2029.59
2026-08,Transport,2013.17
2026-09,Transport,1997.29
2026-10,Transport,1980.87
2025-11,Health,3146.24
2025-12,Health,3171.23
2026-01,Health,3196.22
2026-02,Health,3218.8
2026-03,Health,3243.79
2026-04,Health,3267.97
2026-05,Health,3292.96
2026-06,Health,3317.14
2026-07,Health,3342.13
2026-08,Health,3367.13
2026-09,Health,3391.31
2026-10,Health,3416.3
2025-11,Grocery,1220.53
2025-12,Grocery,1149.78
2026-01,Grocery,1079.03
2026-02,Grocery,1015.13
2026-03,Grocery,944.39
2026-04,Grocery,875.92
2026-05,Grocery,805.18
2026-06,Grocery,736.71
2026-07,Grocery,665.96
2026-08,Grocery,595.22
2026-09,Grocery,526.75
2026-10,Grocery,456.01
2025-11,Insurance,3331.81
2025-12,Insurance,3250.83
2026-01,Insurance,3169.85
2026-02,Insurance,3096.71
2026-03,Insurance,3015.73
2026-04,Insurance,2937.36
2026-05,Insurance,2856.38
2026-06,Insurance,2778.01
2026-07,Insurance,2697.03
2026-08,Insurance,2616.06
2026-09,Insurance,2537.69
2026-10,Insurance,2456.71
2025-11,Travel,2222.16
2025-12,Travel,2203.24
2026-01,Travel,2184.32
2026-02,Travel,2167.24
2026-03,Travel,2148.32
2026-04,Travel,2130.01
2026-05,Travel,2111.1
2026-06,Travel,2092.79
2026-07,Travel,2073.87
2026-08,Travel,2054.95
2026-09,Travel,2036.65
2026-10,Travel,2017.73
2025-11,Bills,6023.59
2025-12,Bills,6055.01
2026-01,Bills,6086.42
2026-02,Bills,6114.8
2026-03,Bills,6146.22
2026-04,Bills,6176.62
2026-05,Bills,6208.04
2026-06,Bills,6238.44
2026-07,Bills,6269.86
2026-08,Bills,6301.27
2026-09,Bills,6331.67
2026-10,Bills,6363.09
2025-11,Family,2400.57
2025-12,Family,2414.1
2026-01,Family,2427.64
2026-02,Family,2439.86
2026-03,Family,2453.39
2026-04,Family,2466.49
2026-05,Family,2480.02
2026-06,Family,2493.11
2026-07,Family,2506.65
2026-08,Family,2520.18
2026-09,Family,2533.27
2026-10,Family,2546.81
2025-11,Other,1489.04
2025-12,Other,1433.2
2026-01,Other,1377.35
2026-02,Other,1326.91
2026-03,Other,1271.06
2026-04,Other,1217.02
2026-05,Other,1161.17
2026-06,Other,1107.13
2026-07,Other,1051.28
2026-08,Other,995.44
2026-09,Other,941.39
2026-10,Other,885.55
2025-11,Entertainment,3553.97
2025-12,Entertainment,3621.55
2026-01,Entertainment,3689.12
2026-02,Entertainment,3750.16
2026-03,Entertainment,3817.73
2026-04,Entertainment,3883.13
2026-05,Entertainment,3950.7
2026-06,Entertainment,4016.1
2026-07,Entertainment,4083.67
2026-08,Entertainment,4151.25
2026-09,Entertainment,4216.64
2026-10,Entertainment,4284.22
