Date,Category,Predicted_Spending
2025-12,Food,11255.29
2026-01,Food,11307.16
2026-02,Food,11354.01
2026-03,Food,11405.88
2026-04,Food,11456.07
2026-05,Food,11507.94
2026-06,Food,11558.14
2026-07,Food,11610.01
2026-08,Food,11661.88
2026-09,Food,11712.07
2026-10,Food,11763.94
2026-11,Food,11814.14
2025-12,Education,11948.99
2026-01,Education,11969.38
2026-02,Education,11987.8
2026-03,Education,12008.2
2026-04,Education,12027.93
2026-05,Education,12048.33
2026-06,Education,12068.07
2026-07,Education,12088.46
2026-08,Education,12108.86
2026-09,Education,12128.59
2026-10,Education,12148.99
2026-11,Education,12168.73
2025-12,Transport,8979.46
2026-01,Transport,8847.06
2026-02,Transport,8727.47
2026-03,Transport,8595.07
2026-04,Transport,8466.94
2026-05,Transport,8334.55
2026-06,Transport,8206.42
2026-07,Transport,8074.02
2026-08,Transport,7941.62
2026-09,Transport,7813.49
2026-10,Transport,7681.09
2026-11,Transport,7552.96
2025-12,Health,13546.79
2026-01,Health,13595.62
2026-02,Health,13639.73
2026-03,Health,13688.56
2026-04,Health,13735.82
2026-05,Health,13784.66
2026-06,Health,13831.92
2026-07,Health,13880.75
2026-08,Health,13929.59
2026-09,Health,13976.85
2026-10,Health,14025.68
2026-11,Health,14072.94
2025-12,Grocery,4923.48
2026-01,Grocery,4556.45
2026-02,Grocery,4224.95
2026-03,Grocery,3857.93
2026-04,Grocery,3502.75
2026-05,Grocery,3135.73
2026-06,Grocery,2780.55
2026-07,Grocery,2413.52
2026-08,Grocery,2046.5
2026-09,Grocery,1691.32
2026-10,Grocery,1324.3
2026-11,Grocery,969.12
2025-12,Insurance,14231.48
2026-01,Insurance,13781.62
2026-02,Insurance,13375.29
2026-03,Insurance,12925.42
2026-04,Insurance,12490.07
2026-05,Insurance,12040.2
2026-06,Insurance,11604.84
2026-07,Insurance,11154.98
2026-08,Insurance,10705.11
2026-09,Insurance,10269.76
2026-10,Insurance,9819.89
2026-11,Insurance,9384.54
2025-12,Travel,9276.55
2026-01,Travel,9129.88
2026-02,Travel,8997.42
2026-03,Travel,8850.75
2026-04,Travel,8708.82
2026-05,Travel,8562.16
2026-06,Travel,8420.23
2026-07,Travel,8273.57
2026-08,Travel,8126.9
2026-09,Travel,7984.97
2026-10,Travel,7838.31
2026-11,Travel,7696.38
2025-12,Bills,26016.0
2026-01,Bills,26036.56
2026-02,Bills,26055.13
2026-03,Bills,26075.69
2026-04,Bills,26095.59
2026-05,Bills,26116.15
2026-06,Bills,26136.05
2026-07,Bills,26156.62
2026-08,Bills,26177.18
2026-09,Bills,26197.08
2026-10,Bills,26217.64
2026-11,Bills,26237.54
2025-12,Family,10350.31
2026-01,Family,10363.13
2026-02,Family,10374.71
2026-03,Family,10387.52
2026-04,Family,10399.93
2026-05,Family,10412.74
2026-06,Family,10425.14
2026-07,Family,10437.96
2026-08,Family,10450.78
2026-09,Family,10463.18
2026-10,Family,10476.0
2026-11,Family,10488.4
2025-12,Other,6130.62
2026-01,Other,5829.72
2026-02,Other,5557.94
2026-03,Other,5257.04
2026-04,Other,4965.85
2026-05,Other,4664.95
2026-06,Other,4373.76
2026-07,Other,4072.87
2026-08,Other,3771.97
2026-09,Other,3480.78
2026-10,Other,3179.88
2026-11,Other,2888.69
2025-12,Entertainment,15553.38
2026-01,Entertainment,15800.57
2026-02,Entertainment,16023.85
2026-03,Entertainment,16271.04
2026-04,Entertainment,16510.26
2026-05,Entertainment,16757.46
2026-06,Entertainment,16996.68
2026-07,Entertainment,17243.87
2026-08,Entertainment,17491.07
2026-09,Entertainment,17730.29
2026-10,Entertainment,17977.49
2026-11,Entertainment,18216.71
