Date,Category,Predicted_Spending
2025-11,Food,3415.08
2025-12,Food,3444.24
2026-01,Food,3473.4
2026-02,Food,3499.74
2026-03,Food,3528.9
2026-04,Food,3557.12
2026-05,Food,3586.28
2026-06,Food,3614.5
2026-07,Food,3643.67
2026-08,Food,3672.83
2026-09,Food,3701.05
2026-10,Food,3730.21
2025-11,Education,3674.04
2025-12,Education,3696.72
2026-01,Education,3719.41
2026-02,Education,3739.9
2026-03,Education,3762.58
2026-04,Education,3784.54
2026-05,Education,3807.22
2026-06,Education,3829.17
2026-07,Education,3851.86
2026-08,Education,3874.54
2026-09,Education,3896.5
2026-10,Education,3919.18
2025-11,Transport,2857.9
2025-12,Transport,2836.16
2026-01,Transport,2814.43
2026-02,Transport,2794.8
2026-03,Transport,2773.06
2026-04,Transport,2752.03
2026-05,Transport,2730.29
2026-06,Transport,2709.26
2026-07,Transport,2687.52
2026-08,Transport,2665.78
2026-09,Transport,2644.75
2026-10,Transport,2623.01
2025-11,Health,4166.17
2025-12,Health,4199.26
2026-01,Health,4232.35
2026-02,Health,4262.24
2026-03,Health,4295.33
2026-04,Health,4327.35
2026-05,Health,4360.45
2026-06,Health,4392.47
2026-07,Health,4425.56
2026-08,Health,4458.65
2026-09,Health,4490.68
2026-10,Health,4523.77
2025-11,Grocery,1616.19
2025-12,Grocery,1522.5
2026-01,Grocery,1428.82
2026-02,Grocery,1344.21
2026-03,Grocery,1250.53
2026-04,Grocery,1159.87
2026-05,Grocery,1066.19
2026-06,Grocery,975.53
2026-07,Grocery,881.85
2026-08,Grocery,788.17
2026-09,Grocery,697.51
2026-10,Grocery,603.83
2025-11,Insurance,4411.89
2025-12,Insurance,4304.66
2026-01,Insurance,4197.43
2026-02,Insurance,4100.58
2026-03,Insurance,3993.35
2026-04,Insurance,3889.57
2026-05,Insurance,3782.34
2026-06,Insurance,3678.57
2026-07,Insurance,3571.34
2026-08,Insurance,3464.11
2026-09,Insurance,3360.33
2026-10,Insurance,3253.1
2025-11,Travel,2942.52
2025-12,Travel,2917.47
2026-01,Travel,2892.42
2026-02,Travel,2869.79
2026-03,Travel,2844.74
2026-04,Travel,2820.5
2026-05,Travel,2795.45
2026-06,Travel,2771.21
2026-07,Travel,2746.16
2026-08,Travel,2721.11
2026-09,Travel,2696.87
2026-10,Travel,2671.82
2025-11,Bills,7976.27
2025-12,Bills,8017.87
2026-01,Bills,8059.47
2026-02,Bills,8097.05
2026-03,Bills,8138.65
2026-04,Bills,8178.91
2026-05,Bills,8220.51
2026-06,Bills,8260.77
2026-07,Bills,8302.37
2026-08,Bills,8343.97
2026-09,Bills,8384.23
2026-10,Bills,8425.83
2025-11,Family,3178.77
2025-12,Family,3196.69
2026-01,Family,3214.61
2026-02,Family,3230.79
2026-03,Family,3248.71
2026-04,Family,3266.05
2026-05,Family,3283.97
2026-06,Family,3301.31
2026-07,Family,3319.23
2026-08,Family,3337.15
2026-09,Family,3354.49
2026-10,Family,3372.41
2025-11,Other,1971.75
2025-12,Other,1897.8
2026-01,Other,1823.85
2026-02,Other,1757.06
2026-03,Other,1683.11
2026-04,Other,1611.54
2026-05,Other,1537.59
2026-06,Other,1466.03
2026-07,Other,1392.08
2026-08,Other,1318.13
2026-09,Other,1246.57
2026-10,Other,1172.62
2025-11,Entertainment,4706.07
2025-12,Entertainment,4795.55
2026-01,Entertainment,4885.03
2026-02,Entertainment,4965.86
2026-03,Entertainment,5055.34
2026-04,Entertainment,5141.93
2026-05,Entertainment,5231.41
2026-06,Entertainment,5318.0
2026-07,Entertainment,5407.48
2026-08,Entertainment,5496.96
2026-09,Entertainment,5583.56
2026-10,Entertainment,5673.04
