Date,Category,Predicted_Spending
2025-11,Food,416.21
2025-12,Food,419.76
2026-01,Food,423.31
2026-02,Food,426.53
2026-03,Food,430.08
2026-04,Food,433.52
2026-05,Food,437.07
2026-06,Food,440.51
2026-07,Food,444.07
2026-08,Food,447.62
2026-09,Food,451.06
2026-10,Food,454.61
2025-11,Education,447.77
2025-12,Education,450.53
2026-01,Education,453.3
2026-02,Education,455.79
2026-03,Education,458.56
2026-04,Education,461.23
2026-05,Education,464.0
2026-06,Education,466.67
2026-07,Education,469.44
2026-08,Education,472.2
2026-09,Education,474.88
2026-10,Education,477.64
2025-11,Transport,348.3
2025-12,Transport,345.65
2026-01,Transport,343.0
2026-02,Transport,340.61
2026-03,Transport,337.96
2026-04,Transport,335.4
2026-05,Transport,332.75
2026-06,Transport,330.19
2026-07,Transport,327.54
2026-08,Transport,324.89
2026-09,Transport,322.32
2026-10,Transport,319.68
2025-11,Health,507.74
2025-12,Health,511.78
2026-01,Health,515.81
2026-02,Health,519.45
2026-03,Health,523.49
2026-04,Health,527.39
2026-05,Health,531.42
2026-06,Health,535.32
2026-07,Health,539.36
2026-08,Health,543.39
2026-09,Health,547.29
2026-10,Health,551.33
2025-11,Grocery,196.97
2025-12,Grocery,185.55
2026-01,Grocery,174.14
2026-02,Grocery,163.82
2026-03,Grocery,152.41
2026-04,Grocery,141.36
2026-05,Grocery,129.94
2026-06,Grocery,118.89
2026-07,Grocery,107.47
2026-08,Grocery,96.06
2026-09,Grocery,85.01
2026-10,Grocery,73.59
2025-11,Insurance,537.69
2025-12,Insurance,524.62
2026-01,Insurance,511.55
2026-02,Insurance,499.75
2026-03,Insurance,486.68
2026-04,Insurance,474.04
2026-05,Insurance,460.97
2026-06,Insurance,448.32
2026-07,Insurance,435.25
2026-08,Insurance,422.18
2026-09,Insurance,409.54
2026-10,Insurance,396.47
2025-11,Travel,358.61
2025-12,Travel,355.56
2026-01,Travel,352.51
2026-02,Travel,349.75
2026-03,Travel,346.7
2026-04,Travel,343.74
2026-05,Travel,340.69
2026-06,Travel,337.74
2026-07,Travel,334.68
2026-08,Travel,331.63
2026-09,Travel,328.68
2026-10,Travel,325.62
2025-11,Bills,972.09
2025-12,Bills,977.16
2026-01,Bills,982.23
2026-02,Bills,986.81
2026-03,Bills,991.88
2026-04,Bills,996.79
2026-05,Bills,1001.86
2026-06,Bills,1006.77
2026-07,Bills,1011.84
2026-08,Bills,1016.91
2026-09,Bills,1021.81
2026-10,Bills,1026.88
2025-11,Family,387.41
2025-12,Family,389.59
2026-01,Family,391.78
2026-02,Family,393.75
2026-03,Family,395.93
2026-04,Family,398.04
2026-05,Family,400.23
2026-06,Family,402.34
2026-07,Family,404.53
2026-08,Family,406.71
2026-09,Family,408.82
2026-10,Family,411.01
2025-11,Other,240.3
2025-12,Other,231.29
2026-01,Other,222.28
2026-02,Other,214.14
2026-03,Other,205.13
2026-04,Other,196.4
2026-05,Other,187.39
2026-06,Other,178.67
2026-07,Other,169.66
2026-08,Other,160.65
2026-09,Other,151.92
2026-10,Other,142.91
2025-11,Entertainment,573.54
2025-12,Entertainment,584.45
2026-01,Entertainment,595.36
2026-02,Entertainment,605.21
2026-03,Entertainment,616.11
2026-04,Entertainment,626.66
2026-05,Entertainment,637.57
2026-06,Entertainment,648.12
2026-07,Entertainment,659.03
2026-08,Entertainment,669.93
2026-09,Entertainment,680.49
2026-10,Entertainment,691.39
