Date,Category,Predicted_Spending
2025-11,Food,57.07
2025-12,Food,57.56
2026-01,Food,58.04
2026-02,Food,58.48
2026-03,Food,58.97
2026-04,Food,59.44
2026-05,Food,59.93
2026-06,Food,60.4
2026-07,Food,60.89
2026-08,Food,61.38
2026-09,Food,61.85
2026-10,Food,62.34
2025-11,Education,61.4
2025-12,Education,61.78
2026-01,Education,62.16
2026-02,Education,62.5
2026-03,Education,62.88
2026-04,Education,63.24
2026-05,Education,63.62
2026-06,Education,63.99
2026-07,Education,64.37
2026-08,Education,64.75
2026-09,Education,65.11
2026-10,Education,65.49
2025-11,Transport,47.76
2025-12,Transport,47.4
2026-01,Transport,47.03
2026-02,Transport,46.7
2026-03,Transport,46.34
2026-04,Transport,45.99
2026-05,Transport,45.63
2026-06,Transport,45.27
2026-07,Transport,44.91
2026-08,Transport,44.55
2026-09,Transport,44.2
2026-10,Transport,43.83
2025-11,Health,69.62
2025-12,Health,70.17
2026-01,Health,70.73
2026-02,Health,71.23
2026-03,Health,71.78
2026-04,Health,72.31
2026-05,Health,72.87
2026-06,Health,73.4
2026-07,Health,73.96
2026-08,Health,74.51
2026-09,Health,75.04
2026-10,Health,75.6
2025-11,Grocery,27.01
2025-12,Grocery,25.44
2026-01,Grocery,23.88
2026-02,Grocery,22.46
2026-03,Grocery,20.9
2026-04,Grocery,19.38
2026-05,Grocery,17.82
2026-06,Grocery,16.3
2026-07,Grocery,14.74
2026-08,Grocery,13.17
2026-09,Grocery,11.66
2026-10,Grocery,10.09
2025-11,Insurance,73.73
2025-12,Insurance,71.94
2026-01,Insurance,70.14
2026-02,Insurance,68.52
2026-03,Insurance,66.73
2026-04,Insurance,65.0
2026-05,Insurance,63.21
2026-06,Insurance,61.47
2026-07,Insurance,59.68
2026-08,Insurance,57.89
2026-09,Insurance,56.15
2026-10,Insurance,54.36
2025-11,Travel,49.17
2025-12,Travel,48.75
2026-01,Travel,48.34
2026-02,Travel,47.96
2026-03,Travel,47.54
2026-04,Travel,47.13
2026-05,Travel,46.71
2026-06,Travel,46.31
2026-07,Travel,45.89
2026-08,Travel,45.47
2026-09,Travel,45.07
2026-10,Travel,44.65
2025-11,Bills,133.29
2025-12,Bills,133.99
2026-01,Bills,134.68
2026-02,Bills,135.31
2026-03,Bills,136.01
2026-04,Bills,136.68
2026-05,Bills,137.37
2026-06,Bills,138.05
2026-07,Bills,138.74
2026-08,Bills,139.44
2026-09,Bills,140.11
2026-10,Bills,140.8
2025-11,Family,53.12
2025-12,Family,53.42
2026-01,Family,53.72
2026-02,Family,53.99
2026-03,Family,54.29
2026-04,Family,54.58
2026-05,Family,54.88
2026-06,Family,55.17
2026-07,Family,55.47
2026-08,Family,55.77
2026-09,Family,56.06
2026-10,Family,56.36
2025-11,Other,32.95
2025-12,Other,31.71
2026-01,Other,30.48
2026-02,Other,29.36
2026-03,Other,28.13
2026-04,Other,26.93
2026-05,Other,25.69
2026-06,Other,24.5
2026-07,Other,23.26
2026-08,Other,22.03
2026-09,Other,20.83
2026-10,Other,19.6
2025-11,Entertainment,78.64
2025-12,Entertainment,80.14
2026-01,Entertainment,81.63
2026-02,Entertainment,82.98
2026-03,Entertainment,84.48
2026-04,Entertainment,85.93
2026-05,Entertainment,87.42
2026-06,Entertainment,88.87
2026-07,Entertainment,90.36
2026-08,Entertainment,91.86
2026-09,Entertainment,93.31
2026-10,Entertainment,94.8
