Date,Category,Predicted_Spending
2025-11,Food,1414.01
2025-12,Food,1426.09
2026-01,Food,1438.16
2026-02,Food,1449.07
2026-03,Food,1461.14
2026-04,Food,1472.83
2026-05,Food,1484.9
2026-06,Food,1496.59
2026-07,Food,1508.66
2026-08,Food,1520.73
2026-09,Food,1532.42
2026-10,Food,1544.49
2025-11,Education,1521.24
2025-12,Education,1530.63
2026-01,Education,1540.02
2026-02,Education,1548.51
2026-03,Education,1557.9
2026-04,Education,1566.99
2026-05,Education,1576.38
2026-06,Education,1585.47
2026-07,Education,1594.86
2026-08,Education,1604.26
2026-09,Education,1613.34
2026-10,Education,1622.74
2025-11,Transport,1183.31
2025-12,Transport,1174.31
2026-01,Transport,1165.31
2026-02,Transport,1157.19
2026-03,Transport,1148.19
2026-04,Transport,1139.48
2026-05,Transport,1130.48
2026-06,Transport,1121.77
2026-07,Transport,1112.77
2026-08,Transport,1103.77
2026-09,Transport,1095.06
2026-10,Transport,1086.06
2025-11,Health,1725.0
2025-12,Health,1738.7
2026-01,Health,1752.4
2026-02,Health,1764.78
2026-03,Health,1778.48
2026-04,Health,1791.74
2026-05,Health,1805.44
2026-06,Health,1818.7
2026-07,Health,1832.4
2026-08,Health,1846.11
2026-09,Health,1859.36
2026-10,Health,1873.07
2025-11,Grocery,669.18
2025-12,Grocery,630.39
2026-01,Grocery,591.6
2026-02,Grocery,556.57
2026-03,Grocery,517.78
2026-04,Grocery,480.24
2026-05,Grocery,441.46
2026-06,Grocery,403.92
2026-07,Grocery,365.13
2026-08,Grocery,326.34
2026-09,Grocery,288.81
2026-10,Grocery,250.02
2025-11,Insurance,1826.74
2025-12,Insurance,1782.35
2026-01,Insurance,1737.95
2026-02,Insurance,1697.84
2026-03,Insurance,1653.44
2026-04,Insurance,1610.48
2026-05,Insurance,1566.08
2026-06,Insurance,1523.11
2026-07,Insurance,1478.71
2026-08,Insurance,1434.31
2026-09,Insurance,1391.35
2026-10,Insurance,1346.95
2025-11,Travel,1218.35
2025-12,Travel,1207.98
2026-01,Travel,1197.61
2026-02,Travel,1188.24
2026-03,Travel,1177.87
2026-04,Travel,1167.83
2026-05,Travel,1157.46
2026-06,Travel,1147.42
2026-07,Travel,1137.05
2026-08,Travel,1126.68
2026-09,Travel,1116.64
2026-10,Travel,1106.27
2025-11,Bills,3302.58
2025-12,Bills,3319.8
2026-01,Bills,3337.02
2026-02,Bills,3352.58
2026-03,Bills,3369.81
2026-04,Bills,3386.48
2026-05,Bills,3403.7
2026-06,Bills,3420.37
2026-07,Bills,3437.6
2026-08,Bills,3454.82
2026-09,Bills,3471.49
2026-10,Bills,3488.71
2025-11,Family,1316.17
2025-12,Family,1323.59
2026-01,Family,1331.01
2026-02,Family,1337.71
2026-03,Family,1345.13
2026-04,Family,1352.31
2026-05,Family,1359.73
2026-06,Family,1366.91
2026-07,Family,1374.33
2026-08,Family,1381.75
2026-09,Family,1388.93
2026-10,Family,1396.35
2025-11,Other,816.4
2025-12,Other,785.78
2026-01,Other,755.16
2026-02,Other,727.51
2026-03,Other,696.89
2026-04,Other,667.26
2026-05,Other,636.64
2026-06,Other,607.01
2026-07,Other,576.39
2026-08,Other,545.77
2026-09,Other,516.14
2026-10,Other,485.52
2025-11,Entertainment,1948.55
2025-12,Entertainment,1985.6
2026-01,Entertainment,2022.65
2026-02,Entertainment,2056.11
2026-03,Entertainment,2093.16
2026-04,Entertainment,2129.02
2026-05,Entertainment,2166.07
2026-06,Entertainment,2201.92
2026-07,Entertainment,2238.97
2026-08,Entertainment,2276.02
2026-09,Entertainment,2311.87
2026-10,Entertainment,2348.92
