Date,Category,Predicted_Spending
2025-11,Food,1868.39
2025-12,Food,1884.34
2026-01,Food,1900.3
2026-02,Food,1914.71
2026-03,Food,1930.66
2026-04,Food,1946.1
2026-05,Food,1962.05
2026-06,Food,1977.49
2026-07,Food,1993.45
2026-08,Food,2009.4
2026-09,Food,2024.84
2026-10,Food,2040.8
2025-11,Education,2010.07
2025-12,Education,2022.48
2026-01,Education,2034.89
2026-02,Education,2046.1
2026-03,Education,2058.51
2026-04,Education,2070.52
2026-05,Education,2082.93
2026-06,Education,2094.94
2026-07,Education,2107.35
2026-08,Education,2119.76
2026-09,Education,2131.77
2026-10,Education,2144.18
2025-11,Transport,1563.56
2025-12,Transport,1551.66
2026-01,Transport,1539.77
2026-02,Transport,1529.03
2026-03,Transport,1517.14
2026-04,Transport,1505.63
2026-05,Transport,1493.74
2026-06,Transport,1482.23
2026-07,Transport,1470.34
2026-08,Transport,1458.45
2026-09,Transport,1446.94
2026-10,Transport,1435.05
2025-11,Health,2279.31
2025-12,Health,2297.41
2026-01,Health,2315.52
2026-02,Health,2331.87
2026-03,Health,2349.97
2026-04,Health,2367.49
2026-05,Health,2385.6
2026-06,Health,2403.12
2026-07,Health,2421.22
2026-08,Health,2439.33
2026-09,Health,2456.85
2026-10,Health,2474.95
2025-11,Grocery,884.21
2025-12,Grocery,832.96
2026-01,Grocery,781.71
2026-02,Grocery,735.42
2026-03,Grocery,684.16
2026-04,Grocery,634.56
2026-05,Grocery,583.31
2026-06,Grocery,533.71
2026-07,Grocery,482.46
2026-08,Grocery,431.21
2026-09,Grocery,381.61
2026-10,Grocery,330.36
2025-11,Insurance,2413.74
2025-12,Insurance,2355.08
2026-01,Insurance,2296.41
2026-02,Insurance,2243.42
2026-03,Insurance,2184.76
2026-04,Insurance,2127.98
2026-05,Insurance,2069.32
2026-06,Insurance,2012.54
2026-07,Insurance,1953.88
2026-08,Insurance,1895.21
2026-09,Insurance,1838.44
2026-10,Insurance,1779.77
2025-11,Travel,1609.85
2025-12,Travel,1596.15
2026-01,Travel,1582.44
2026-02,Travel,1570.06
2026-03,Travel,1556.36
2026-04,Travel,1543.1
2026-05,Travel,1529.39
2026-06,Travel,1516.13
2026-07,Travel,1502.42
2026-08,Travel,1488.72
2026-09,Travel,1475.46
2026-10,Travel,1461.75
2025-11,Bills,4363.81
2025-12,Bills,4386.57
2026-01,Bills,4409.33
2026-02,Bills,4429.89
2026-03,Bills,4452.65
2026-04,Bills,4474.68
2026-05,Bills,4497.44
2026-06,Bills,4519.46
2026-07,Bills,4542.22
2026-08,Bills,4564.98
2026-09,Bills,4587.01
2026-10,Bills,4609.77
2025-11,Family,1739.1
2025-12,Family,1748.91
2026-01,Family,1758.71
2026-02,Family,1767.57
2026-03,Family,1777.37
2026-04,Family,1786.86
2026-05,Family,1796.66
2026-06,Family,1806.15
2026-07,Family,1815.95
2026-08,Family,1825.75
2026-09,Family,1835.24
2026-10,Family,1845.04
2025-11,Other,1078.74
2025-12,Other,1038.28
2026-01,Other,997.83
2026-02,Other,961.28
2026-03,Other,920.83
2026-04,Other,881.67
2026-05,Other,841.22
2026-06,Other,802.06
2026-07,Other,761.61
2026-08,Other,721.15
2026-09,Other,682.0
2026-10,Other,641.54
2025-11,Entertainment,2574.69
2025-12,Entertainment,2623.65
2026-01,Entertainment,2672.6
2026-02,Entertainment,2716.82
2026-03,Entertainment,2765.77
2026-04,Entertainment,2813.15
2026-05,Entertainment,2862.1
2026-06,Entertainment,2909.48
2026-07,Entertainment,2958.43
2026-08,Entertainment,3007.39
2026-09,Entertainment,3054.76
2026-10,Entertainment,3103.72
