Date,Category,Predicted_Spending
2025-11,Food,41.44
2025-12,Food,41.7
2026-01,Food,41.97
2026-02,Food,42.21
2026-03,Food,42.48
2026-04,Food,42.74
2026-05,Food,43.01
2026-06,Food,43.27
2026-07,Food,43.53
2026-08,Food,43.8
2026-09,Food,44.06
2026-10,Food,44.33
2025-11,Education,47.12
2025-12,Education,47.41
2026-01,Education,47.71
2026-02,Education,47.97
2026-03,Education,48.26
2026-04,Education,48.54
2026-05,Education,48.83
2026-06,Education,49.11
2026-07,Education,49.4
2026-08,Education,49.69
2026-09,Education,49.98
2026-10,Education,50.27
2025-11,Transport,36.66
2025-12,Transport,36.38
2026-01,Transport,36.1
2026-02,Transport,35.85
2026-03,Transport,35.57
2026-04,Transport,35.3
2026-05,Transport,35.02
2026-06,Transport,34.75
2026-07,Transport,34.47
2026-08,Transport,34.19
2026-09,Transport,33.92
2026-10,Transport,33.64
2025-11,Health,53.44
2025-12,Health,53.86
2026-01,Health,54.28
2026-02,Health,54.67
2026-03,Health,55.09
2026-04,Health,55.5
2026-05,Health,55.93
2026-06,Health,56.34
2026-07,Health,56.76
2026-08,Health,57.19
2026-09,Health,57.6
2026-10,Health,58.02
2025-11,Grocery,20.73
2025-12,Grocery,19.53
2026-01,Grocery,18.33
2026-02,Grocery,17.24
2026-03,Grocery,16.04
2026-04,Grocery,14.88
2026-05,Grocery,13.67
2026-06,Grocery,12.51
2026-07,Grocery,11.31
2026-08,Grocery,10.11
2026-09,Grocery,8.95
2026-10,Grocery,7.74
2025-11,Insurance,56.59
2025-12,Insurance,55.21
2026-01,Insurance,53.84
2026-02,Insurance,52.59
2026-03,Insurance,51.22
2026-04,Insurance,49.89
2026-05,Insurance,48.51
2026-06,Insurance,47.18
2026-07,Insurance,45.81
2026-08,Insurance,44.43
2026-09,Insurance,43.1
2026-10,Insurance,41.72
2025-11,Travel,37.74
2025-12,Travel,37.42
2026-01,Travel,37.1
2026-02,Travel,36.81
2026-03,Travel,36.49
2026-04,Travel,36.18
2026-05,Travel,35.85
2026-06,Travel,35.54
2026-07,Travel,35.22
2026-08,Travel,34.9
2026-09,Travel,34.59
2026-10,Travel,34.27
2025-11,Bills,102.3
2025-12,Bills,102.84
2026-01,Bills,103.37
2026-02,Bills,103.85
2026-03,Bills,104.39
2026-04,Bills,104.9
2026-05,Bills,105.44
2026-06,Bills,105.95
2026-07,Bills,106.49
2026-08,Bills,107.02
2026-09,Bills,107.54
2026-10,Bills,108.07
2025-11,Family,40.77
2025-12,Family,41.0
2026-01,Family,41.23
2026-02,Family,41.44
2026-03,Family,41.67
2026-04,Family,41.89
2026-05,Family,42.12
2026-06,Family,42.34
2026-07,Family,42.57
2026-08,Family,42.8
2026-09,Family,43.02
2026-10,Family,43.25
2025-11,Other,25.29
2025-12,Other,24.34
2026-01,Other,23.39
2026-02,Other,22.54
2026-03,Other,21.59
2026-04,Other,20.67
2026-05,Other,19.72
2026-06,Other,18.8
2026-07,Other,17.85
2026-08,Other,16.91
2026-09,Other,15.99
2026-10,Other,15.04
2025-11,Entertainment,60.36
2025-12,Entertainment,61.51
2026-01,Entertainment,62.66
2026-02,Entertainment,63.69
2026-03,Entertainment,64.84
2026-04,Entertainment,65.95
2026-05,Entertainment,67.1
2026-06,Entertainment,68.21
2026-07,Entertainment,69.36
2026-08,Entertainment,70.5
2026-09,Entertainment,71.61
2026-10,Entertainment,72.76
