Date,Category,Predicted_Spending
2025-12,Food,1044730.79
2026-01,Food,1049545.35
2026-02,Food,1053893.99
2026-03,Food,1058708.56
2026-04,Food,1063367.81
2026-05,Food,1068182.38
2026-06,Food,1072841.63
2026-07,Food,1077656.19
2026-08,Food,1082470.76
2026-09,Food,1087130.01
2026-10,Food,1091944.58
2026-11,Food,1096603.83
2025-12,Education,1109120.71
2026-01,Education,1111013.79
2026-02,Education,1112723.67
2026-03,Education,1114616.75
2026-04,Education,1116448.76
2026-05,Education,1118341.84
2026-06,Education,1120173.86
2026-07,Education,1122066.94
2026-08,Education,1123960.02
2026-09,Education,1125792.03
2026-10,Education,1127685.11
2026-11,Education,1129517.13
2025-12,Transport,833484.95
2026-01,Transport,821195.51
2026-02,Transport,810095.37
2026-03,Transport,797805.93
2026-04,Transport,785912.92
2026-05,Transport,773623.48
2026-06,Transport,761730.47
2026-07,Transport,749441.03
2026-08,Transport,737151.59
2026-09,Transport,725258.58
2026-10,Transport,712969.14
2026-11,Transport,701076.14
2025-12,Health,1257430.58
2026-01,Health,1261963.48
2026-02,Health,1266057.71
2026-03,Health,1270590.61
2026-04,Health,1274977.28
2026-05,Health,1279510.18
2026-06,Health,1283896.86
2026-07,Health,1288429.75
2026-08,Health,1292962.65
2026-09,Health,1297349.33
2026-10,Health,1301882.22
2026-11,Health,1306268.9
2025-12,Grocery,457003.5
2026-01,Grocery,422936.12
2026-02,Grocery,392165.58
2026-03,Grocery,358098.19
2026-04,Grocery,325129.76
2026-05,Grocery,291062.37
2026-06,Grocery,258093.94
2026-07,Grocery,224026.56
2026-08,Grocery,189959.17
2026-09,Grocery,156990.74
2026-10,Grocery,122923.36
2026-11,Grocery,89954.92
2025-12,Insurance,1320985.02
2026-01,Insurance,1279227.85
2026-02,Insurance,1241511.69
2026-03,Insurance,1199754.52
2026-04,Insurance,1159344.35
2026-05,Insurance,1117587.17
2026-06,Insurance,1077177.01
2026-07,Insurance,1035419.83
2026-08,Insurance,993662.66
2026-09,Insurance,953252.49
2026-10,Insurance,911495.32
2026-11,Insurance,871085.15
2025-12,Travel,861061.24
2026-01,Travel,847447.87
2026-02,Travel,835151.93
2026-03,Travel,821538.57
2026-04,Travel,808364.35
2026-05,Travel,794750.98
2026-06,Travel,781576.76
2026-07,Travel,767963.4
2026-08,Travel,754350.03
2026-09,Travel,741175.81
2026-10,Travel,727562.45
2026-11,Travel,714388.22
2025-12,Bills,2414839.25
2026-01,Bills,2416747.84
2026-02,Bills,2418471.73
2026-03,Bills,2420380.32
2026-04,Bills,2422227.34
2026-05,Bills,2424135.93
2026-06,Bills,2425982.95
2026-07,Bills,2427891.54
2026-08,Bills,2429800.13
2026-09,Bills,2431647.16
2026-10,Bills,2433555.75
2026-11,Bills,2435402.77
2025-12,Family,960729.8
2026-01,Family,961919.42
2026-02,Family,962993.91
2026-03,Family,964183.52
2026-04,Family,965334.76
2026-05,Family,966524.37
2026-06,Family,967675.61
2026-07,Family,968865.23
2026-08,Family,970054.84
2026-09,Family,971206.08
2026-10,Family,972395.69
2026-11,Family,973546.93
2025-12,Other,569051.99
2026-01,Other,541122.26
2026-02,Other,515895.42
2026-03,Other,487965.69
2026-04,Other,460936.93
2026-05,Other,433007.21
2026-06,Other,405978.44
2026-07,Other,378048.72
2026-08,Other,350118.99
2026-09,Other,323090.23
2026-10,Other,295160.51
2026-11,Other,268131.74
2025-12,Entertainment,1443684.94
2026-01,Entertainment,1466629.94
2026-02,Entertainment,1487354.47
2026-03,Entertainment,1510299.47
2026-04,Entertainment,1532504.32
2026-05,Entertainment,1555449.32
2026-06,Entertainment,1577654.17
2026-07,Entertainment,1600599.18
2026-08,Entertainment,1623544.18
2026-09,Entertainment,1645749.03
2026-10,Entertainment,1668694.04
2026-11,Entertainment,1690898.88
