Date,Category,Predicted_Spending
2025-11,Food,752.44
2025-12,Food,758.87
2026-01,Food,765.29
2026-02,Food,771.1
2026-03,Food,777.52
2026-04,Food,783.74
2026-05,Food,790.17
2026-06,Food,796.38
2026-07,Food,802.81
2026-08,Food,809.23
2026-09,Food,815.45
2026-10,Food,821.88
2025-11,Education,809.5
2025-12,Education,814.5
2026-01,Education,819.5
2026-02,Education,824.01
2026-03,Education,829.01
2026-04,Education,833.85
2026-05,Education,838.85
2026-06,Education,843.68
2026-07,Education,848.68
2026-08,Education,853.68
2026-09,Education,858.52
2026-10,Education,863.51
2025-11,Transport,629.68
2025-12,Transport,624.89
2026-01,Transport,620.1
2026-02,Transport,615.78
2026-03,Transport,610.99
2026-04,Transport,606.35
2026-05,Transport,601.56
2026-06,Transport,596.93
2026-07,Transport,592.14
2026-08,Transport,587.35
2026-09,Transport,582.72
2026-10,Transport,577.93
2025-11,Health,917.93
2025-12,Health,925.22
2026-01,Health,932.51
2026-02,Health,939.1
2026-03,Health,946.39
2026-04,Health,953.45
2026-05,Health,960.74
2026-06,Health,967.79
2026-07,Health,975.08
2026-08,Health,982.37
2026-09,Health,989.43
2026-10,Health,996.72
2025-11,Grocery,356.09
2025-12,Grocery,335.45
2026-01,Grocery,314.81
2026-02,Grocery,296.17
2026-03,Grocery,275.53
2026-04,Grocery,255.55
2026-05,Grocery,234.91
2026-06,Grocery,214.94
2026-07,Grocery,194.3
2026-08,Grocery,173.66
2026-09,Grocery,153.68
2026-10,Grocery,133.04
2025-11,Insurance,972.07
2025-12,Insurance,948.45
2026-01,Insurance,924.82
2026-02,Insurance,903.48
2026-03,Insurance,879.85
2026-04,Insurance,856.99
2026-05,Insurance,833.36
2026-06,Insurance,810.5
2026-07,Insurance,786.87
2026-08,Insurance,763.25
2026-09,Insurance,740.38
2026-10,Insurance,716.76
2025-11,Travel,648.33
2025-12,Travel,642.81
2026-01,Travel,637.29
2026-02,Travel,632.3
2026-03,Travel,626.78
2026-04,Travel,621.44
2026-05,Travel,615.92
2026-06,Travel,610.58
2026-07,Travel,605.06
2026-08,Travel,599.54
2026-09,Travel,594.2
2026-10,Travel,588.68
2025-11,Bills,1757.41
2025-12,Bills,1766.58
2026-01,Bills,1775.74
2026-02,Bills,1784.02
2026-03,Bills,1793.19
2026-04,Bills,1802.06
2026-05,Bills,1811.22
2026-06,Bills,1820.09
2026-07,Bills,1829.26
2026-08,Bills,1838.43
2026-09,Bills,1847.3
2026-10,Bills,1856.46
2025-11,Family,700.38
2025-12,Family,704.33
2026-01,Family,708.27
2026-02,Family,711.84
2026-03,Family,715.79
2026-04,Family,719.61
2026-05,Family,723.56
2026-06,Family,727.38
2026-07,Family,731.33
2026-08,Family,735.27
2026-09,Family,739.09
2026-10,Family,743.04
2025-11,Other,434.43
2025-12,Other,418.14
2026-01,Other,401.85
2026-02,Other,387.13
2026-03,Other,370.84
2026-04,Other,355.07
2026-05,Other,338.78
2026-06,Other,323.01
2026-07,Other,306.72
2026-08,Other,290.42
2026-09,Other,274.66
2026-10,Other,258.36
2025-11,Entertainment,1036.89
2025-12,Entertainment,1056.6
2026-01,Entertainment,1076.32
2026-02,Entertainment,1094.13
2026-03,Entertainment,1113.84
2026-04,Entertainment,1132.92
2026-05,Entertainment,1152.64
2026-06,Entertainment,1171.72
2026-07,Entertainment,1191.43
2026-08,Entertainment,1211.15
2026-09,Entertainment,1230.23
2026-10,Entertainment,1249.94
