Date,Category,Predicted_Spending
2025-11,Food,181.75
2025-12,Food,183.3
2025-11,Education,195.53
2025-12,Education,196.74
2025-11,Transport,152.1
2025-12,Transport,150.94
2025-11,Health,221.72
2025-12,Health,223.48
2025-11,Grocery,86.01
2025-12,Grocery,81.03
2025-11,Insurance,234.8
2025-12,Insurance,229.09
2025-11,Travel,156.6
2025-12,Travel,155.27
2025-11,Bills,424.5
2025-12,Bills,426.71
2025-11,Family,169.17
2025-12,Family,170.13
2025-11,Other,104.94
2025-12,Other,101.0
2025-11,Entertainment,250.46
2025-12,Entertainment,255.22
