Date,Category,Predicted_Spending
2025-11,Food,58.29
2025-12,Food,58.66
2025-11,Education,66.29
2025-12,Education,66.69
2025-11,Transport,51.56
2025-12,Transport,51.17
2025-11,Health,75.16
2025-12,Health,75.76
2025-11,Grocery,29.16
2025-12,Grocery,27.47
2025-11,Insurance,79.6
2025-12,Insurance,77.66
2025-11,Travel,53.09
2025-12,Travel,52.64
2025-11,Bills,143.9
2025-12,Bills,144.65
2025-11,Family,57.35
2025-12,Family,57.67
2025-11,Other,35.57
2025-12,Other,34.24
2025-11,Entertainment,84.9
2025-12,Entertainment,86.52
