Date,Category,Predicted_Spending
2025-11,Food,33.36
2025-12,Food,33.57
2025-11,Education,37.93
2025-12,Education,38.17
2025-11,Transport,29.51
2025-12,Transport,29.28
2025-11,Health,43.01
2025-12,Health,43.36
2025-11,Grocery,16.69
2025-12,Grocery,15.72
2025-11,Insurance,45.55
2025-12,Insurance,44.44
2025-11,Travel,30.38
2025-12,Travel,30.12
2025-11,Bills,82.35
2025-12,Bills,82.78
2025-11,Family,32.82
2025-12,Family,33.0
2025-11,Other,20.36
2025-12,Other,19.59
2025-11,Entertainment,48.59
2025-12,Entertainment,49.51
