Date,Category,Predicted_Spending
2025-12,Food,1895.9
2026-01,Food,1904.64
2025-12,Education,2012.76
2026-01,Education,2016.19
2025-12,Transport,1512.55
2026-01,Transport,1490.25
2025-12,Health,2281.9
2026-01,Health,2290.12
2025-12,Grocery,829.34
2026-01,Grocery,767.52
2025-12,Insurance,2397.23
2026-01,Insurance,2321.45
2025-12,Travel,1562.59
2026-01,Travel,1537.89
2025-12,Bills,4382.28
2026-01,Bills,4385.75
2025-12,Family,1743.47
2026-01,Family,1745.62
2025-12,Other,1032.68
2026-01,Other,981.99
2025-12,Entertainment,2619.9
2026-01,Entertainment,2661.54
