Date,Category,Predicted_Spending
2025-11,Food,31.64
2025-12,Food,31.84
2025-11,Education,35.98
2025-12,Education,36.2
2025-11,Transport,27.99
2025-12,Transport,27.77
2025-11,Health,40.8
2025-12,Health,41.12
2025-11,Grocery,15.83
2025-12,Grocery,14.91
2025-11,Insurance,43.2
2025-12,Insurance,42.15
2025-11,Travel,28.81
2025-12,Travel,28.57
2025-11,Bills,78.11
2025-12,Bills,78.51
2025-11,Family,31.13
2025-12,Family,31.3
2025-11,Other,19.31
2025-12,Other,18.58
2025-11,Entertainment,46.08
2025-12,Entertainment,46.96
