Date,Category,Predicted_Spending
2025-11,Food,730517.73
2025-12,Food,736755.64
2025-11,Education,785912.18
2025-12,Education,790764.67
2025-11,Transport,611331.99
2025-12,Transport,606682.52
2025-11,Health,891183.06
2025-12,Health,898261.61
2025-11,Grocery,345717.44
2025-12,Grocery,325678.3
2025-11,Insurance,943746.09
2025-12,Insurance,920808.28
2025-11,Travel,629433.01
2025-12,Travel,624074.62
2025-11,Bills,1706200.32
2025-12,Bills,1715099.1
2025-11,Family,679969.39
2025-12,Family,683802.38
2025-11,Other,421775.52
2025-12,Other,405957.08
2025-11,Entertainment,1006673.94
2025-12,Entertainment,1025814.65
