Date,Category,Predicted_Spending
2025-11,Food,6509.56
2025-12,Food,6551.6
2025-11,Education,7402.83
2025-12,Education,7448.54
2025-11,Transport,5758.39
2025-12,Transport,5714.59
2025-11,Health,8394.42
2025-12,Health,8461.09
2025-11,Grocery,3256.45
2025-12,Grocery,3067.7
2025-11,Insurance,8889.53
2025-12,Insurance,8673.47
2025-11,Travel,5928.89
2025-12,Travel,5878.41
2025-11,Bills,16071.4
2025-12,Bills,16155.22
2025-11,Family,6404.91
2025-12,Family,6441.01
2025-11,Other,3972.88
2025-12,Other,3823.88
2025-11,Entertainment,9482.27
2025-12,Entertainment,9662.57
