Date,Category,Predicted_Spending
2025-11,Food,60805.79
2025-12,Food,61198.41
2025-11,Education,69149.78
2025-12,Education,69576.73
2025-11,Transport,53789.05
2025-12,Transport,53379.96
2025-11,Health,78412.21
2025-12,Health,79035.03
2025-11,Grocery,30418.52
2025-12,Grocery,28655.34
2025-11,Insurance,83037.05
2025-12,Insurance,81018.83
2025-11,Travel,55381.7
2025-12,Travel,54910.23
2025-11,Bills,150122.84
2025-12,Bills,150905.82
2025-11,Family,59828.23
2025-12,Family,60165.48
2025-11,Other,37110.61
2025-12,Other,35718.8
2025-11,Entertainment,88573.86
2025-12,Entertainment,90257.99
