Date,Category,Predicted_Spending
2025-12,Food,12239.45
2026-01,Food,12295.85
2025-12,Education,12993.8
2026-01,Education,13015.98
2025-12,Transport,9764.62
2026-01,Transport,9620.64
2025-12,Health,14731.31
2026-01,Health,14784.42
2025-12,Grocery,5353.98
2026-01,Grocery,4954.87
2025-12,Insurance,15475.88
2026-01,Insurance,14986.68
2025-12,Travel,10087.68
2026-01,Travel,9928.2
2025-12,Bills,28290.83
2026-01,Bills,28313.19
2025-12,Family,11255.34
2026-01,Family,11269.28
2025-12,Other,6666.68
2026-01,Other,6339.47
2025-12,Entertainment,16913.36
2026-01,Entertainment,17182.17
