Date,Category,Predicted_Spending
2025-12,Food,83589.33
2026-01,Food,83974.54
2025-12,Education,88741.19
2026-01,Education,88892.65
2025-12,Transport,66687.46
2026-01,Transport,65704.18
2025-12,Health,100607.52
2026-01,Health,100970.2
2025-12,Grocery,36565.03
2026-01,Grocery,33839.29
2025-12,Insurance,105692.54
2026-01,Insurance,102351.53
2025-12,Travel,68893.85
2026-01,Travel,67804.64
2025-12,Bills,193212.25
2026-01,Bills,193364.95
2025-12,Family,76868.37
2026-01,Family,76963.55
2025-12,Other,45530.08
2026-01,Other,43295.41
2025-12,Entertainment,115509.8
2026-01,Entertainment,117345.64
