Date,Category,Predicted_Spending
2025-11,Food,447.1
2025-12,Food,450.92
2025-11,Education,481.01
2025-12,Education,483.98
2025-11,Transport,374.16
2025-12,Transport,371.31
2025-11,Health,545.44
2025-12,Health,549.77
2025-11,Grocery,211.59
2025-12,Grocery,199.33
2025-11,Insurance,577.61
2025-12,Insurance,563.57
2025-11,Travel,385.24
2025-12,Travel,381.96
2025-11,Bills,1044.26
2025-12,Bills,1049.71
2025-11,Family,416.17
2025-12,Family,418.51
2025-11,Other,258.14
2025-12,Other,248.46
2025-11,Entertainment,616.12
2025-12,Entertainment,627.84
