Date,Category,Predicted_Spending
2025-11,Food,3415.08
2025-12,Food,3444.24
2025-11,Education,3674.04
2025-12,Education,3696.72
2025-11,Transport,2857.9
2025-12,Transport,2836.16
2025-11,Health,4166.17
2025-12,Health,4199.26
2025-11,Grocery,1616.19
2025-12,Grocery,1522.5
2025-11,Insurance,4411.89
2025-12,Insurance,4304.66
2025-11,Travel,2942.52
2025-12,Travel,2917.47
2025-11,Bills,7976.27
2025-12,Bills,8017.87
2025-11,Family,3178.77
2025-12,Family,3196.69
2025-11,Other,1971.75
2025-12,Other,1897.8
2025-11,Entertainment,4706.07
2025-12,Entertainment,4795.55
