Date,Category,Predicted_Spending
2025-11,Food,416.21
2025-12,Food,419.76
2025-11,Education,447.77
2025-12,Education,450.53
2025-11,Transport,348.3
2025-12,Transport,345.65
2025-11,Health,507.74
2025-12,Health,511.78
2025-11,Grocery,196.97
2025-12,Grocery,185.55
2025-11,Insurance,537.69
2025-12,Insurance,524.62
2025-11,Travel,358.61
2025-12,Travel,355.56
2025-11,Bills,972.09
2025-12,Bills,977.16
2025-11,Family,387.41
2025-12,Family,389.59
2025-11,Other,240.3
2025-12,Other,231.29
2025-11,Entertainment,573.54
2025-12,Entertainment,584.45
