Date,Category,Predicted_Spending
2025-11,Food,1868.39
2025-12,Food,1884.34
2025-11,Education,2010.07
2025-12,Education,2022.48
2025-11,Transport,1563.56
2025-12,Transport,1551.66
2025-11,Health,2279.31
2025-12,Health,2297.41
2025-11,Grocery,884.21
2025-12,Grocery,832.96
2025-11,Insurance,2413.74
2025-12,Insurance,2355.08
2025-11,Travel,1609.85
2025-12,Travel,1596.15
2025-11,Bills,4363.81
2025-12,Bills,4386.57
2025-11,Family,1739.1
2025-12,Family,1748.91
2025-11,Other,1078.74
2025-12,Other,1038.28
2025-11,Entertainment,2574.69
2025-12,Entertainment,2623.65
