Date,Category,Predicted_Spending
2025-12,Food,1044730.79
2026-01,Food,1049545.35
2025-12,Education,1109120.71
2026-01,Education,1111013.79
2025-12,Transport,833484.95
2026-01,Transport,821195.51
2025-12,Health,1257430.58
2026-01,Health,1261963.48
2025-12,Grocery,457003.5
2026-01,Grocery,422936.12
2025-12,Insurance,1320985.02
2026-01,Insurance,1279227.85
2025-12,Travel,861061.24
2026-01,Travel,847447.87
2025-12,Bills,2414839.25
2026-01,Bills,2416747.84
2025-12,Family,960729.8
2026-01,Family,961919.42
2025-12,Other,569051.99
2026-01,Other,541122.26
2025-12,Entertainment,1443684.94
2026-01,Entertainment,1466629.94
