Date,Category,Predicted_Spending
2025-12-01,Food,8.57
2025-12-02,Food,10.23
2025-12-03,Food,10.07
2025-12-04,Food,12.63
2025-12-01,Education,7.32
2025-12-02,Education,5.78
2025-12-03,Education,3.85
2025-12-04,Education,6.36
2025-12-01,Transport,3.8
2025-12-02,Transport,5.98
2025-12-03,Transport,6.12
2025-12-04,Transport,3.62
2025-12-01,Health,2.98
2025-12-02,Health,5.11
2025-12-03,Health,6.35
2025-12-04,Health,7.61
2025-12-01,Grocery,3.33
2025-12-02,Grocery,1.99
2025-12-03,Grocery,1.99
2025-12-04,Grocery,1.7
2025-12-01,Insurance,15.6
2025-12-02,Insurance,1.52
2025-12-03,Insurance,-0.1
2025-12-04,Insurance,-3.09
2025-12-01,Travel,6.61
2025-12-02,Travel,4.3
2025-12-03,Travel,5.58
2025-12-04,Travel,4.06
2025-12-01,Bills,16.66
2025-12-02,Bills,14.31
2025-12-03,Bills,16.49
2025-12-04,Bills,13.3
2025-12-01,Family,4.97
2025-12-02,Family,2.04
2025-12-03,Family,5.08
2025-12-04,Family,4.52
2025-12-01,Other,6.19
2025-12-02,Other,7.2
2025-12-03,Other,5.33
2025-12-04,Other,5.34
2025-12-01,Entertainment,8.49
2025-12-02,Entertainment,11.49
2025-12-03,Entertainment,11.31
2025-12-04,Entertainment,11.26
