Date,Category,Predicted_Spending
2025-12-01,Food,7.64
2025-12-02,Food,9.11
2025-12-03,Food,8.96
2025-12-04,Food,11.24
2025-12-01,Education,6.58
2025-12-02,Education,5.21
2025-12-03,Education,3.5
2025-12-04,Education,5.74
2025-12-01,Transport,3.37
2025-12-02,Transport,5.31
2025-12-03,Transport,5.43
2025-12-04,Transport,3.21
2025-12-01,Health,2.65
2025-12-02,Health,4.54
2025-12-03,Health,5.64
2025-12-04,Health,6.77
2025-12-01,Grocery,2.96
2025-12-02,Grocery,1.77
2025-12-03,Grocery,1.77
2025-12-04,Grocery,1.51
2025-12-01,Insurance,13.87
2025-12-02,Insurance,1.35
2025-12-03,Insurance,-0.09
2025-12-04,Insurance,-2.75
2025-12-01,Travel,5.89
2025-12-02,Travel,3.83
2025-12-03,Travel,4.97
2025-12-04,Travel,3.62
2025-12-01,Bills,14.81
2025-12-02,Bills,12.72
2025-12-03,Bills,14.66
2025-12-04,Bills,11.83
2025-12-01,Family,4.42
2025-12-02,Family,1.81
2025-12-03,Family,4.51
2025-12-04,Family,4.01
2025-12-01,Other,5.5
2025-12-02,Other,6.4
2025-12-03,Other,4.74
2025-12-04,Other,4.75
2025-12-01,Entertainment,7.42
2025-12-02,Entertainment,10.08
2025-12-03,Entertainment,9.93
2025-12-04,Entertainment,9.88
