Date,Category,Predicted_Spending
2025-11-17,Food,2.07
2025-11-18,Food,2.86
2025-11-19,Food,2.97
2025-11-20,Food,4.09
2025-11-17,Education,4.04
2025-11-18,Education,3.76
2025-11-19,Education,3.34
2025-11-20,Education,4.56
2025-11-17,Transport,1.28
2025-11-18,Transport,1.9
2025-11-19,Transport,1.76
2025-11-20,Transport,0.65
2025-11-17,Health,1.13
2025-11-18,Health,1.78
2025-11-19,Health,2.08
2025-11-20,Health,2.37
2025-11-17,Grocery,1.96
2025-11-18,Grocery,1.55
2025-11-19,Grocery,1.61
2025-11-20,Grocery,1.53
2025-11-17,Insurance,6.82
2025-11-18,Insurance,2.87
2025-11-19,Insurance,3.5
2025-11-20,Insurance,3.55
2025-11-17,Travel,2.07
2025-11-18,Travel,1.19
2025-11-19,Travel,1.64
2025-11-20,Travel,1.07
2025-11-17,Bills,5.36
2025-11-18,Bills,4.57
2025-11-19,Bills,5.48
2025-11-20,Bills,4.41
2025-11-17,Family,4.36
2025-11-18,Family,2.97
2025-11-19,Family,3.77
2025-11-20,Family,3.22
2025-11-17,Other,1.2
2025-11-18,Other,1.84
2025-11-19,Other,1.43
2025-11-20,Other,1.73
2025-11-17,Entertainment,1.51
2025-11-18,Entertainment,2.47
2025-11-19,Entertainment,2.29
2025-11-20,Entertainment,2.19
