Date,Category,Predicted_Spending
2025-12-02,Food,302.61
2025-12-03,Food,297.63
2025-12-04,Food,373.17
2025-12-05,Food,286.63
2025-12-02,Education,168.12
2025-12-03,Education,111.4
2025-12-04,Education,185.68
2025-12-05,Education,132.4
2025-12-02,Transport,177.7
2025-12-03,Transport,181.99
2025-12-04,Transport,108.38
2025-12-05,Transport,203.62
2025-12-02,Health,148.56
2025-12-03,Health,184.91
2025-12-04,Health,222.19
2025-12-05,Health,175.75
2025-12-02,Grocery,52.54
2025-12-03,Grocery,52.64
2025-12-04,Grocery,43.95
2025-12-05,Grocery,51.9
2025-12-02,Insurance,34.0
2025-12-03,Insurance,-13.45
2025-12-04,Insurance,-101.42
2025-12-05,Insurance,216.93
2025-12-02,Travel,121.04
2025-12-03,Travel,158.71
2025-12-04,Travel,114.22
2025-12-05,Travel,131.5
2025-12-02,Bills,408.38
2025-12-03,Bills,473.01
2025-12-04,Bills,379.35
2025-12-05,Bills,477.19
2025-12-02,Family,54.76
2025-12-03,Family,144.43
2025-12-04,Family,127.95
2025-12-05,Family,78.29
2025-12-02,Other,205.7
2025-12-03,Other,150.64
2025-12-04,Other,151.07
2025-12-05,Other,135.45
2025-12-02,Entertainment,329.99
2025-12-03,Entertainment,324.99
2025-12-04,Entertainment,323.5
2025-12-05,Entertainment,409.56
