Date,Category,Predicted_Spending
2025-12-01,Food,11.11
2025-12-02,Food,13.26
2025-12-03,Food,13.04
2025-12-04,Food,16.35
2025-12-01,Education,9.45
2025-12-02,Education,7.47
2025-12-03,Education,4.98
2025-12-04,Education,8.22
2025-12-01,Transport,4.9
2025-12-02,Transport,7.71
2025-12-03,Transport,7.9
2025-12-04,Transport,4.67
2025-12-01,Health,3.85
2025-12-02,Health,6.59
2025-12-03,Health,8.19
2025-12-04,Health,9.82
2025-12-01,Grocery,4.29
2025-12-02,Grocery,2.57
2025-12-03,Grocery,2.57
2025-12-04,Grocery,2.19
2025-12-01,Insurance,20.13
2025-12-02,Insurance,1.96
2025-12-03,Insurance,-0.13
2025-12-04,Insurance,-3.99
2025-12-01,Travel,8.54
2025-12-02,Travel,5.56
2025-12-03,Travel,7.21
2025-12-04,Travel,5.25
2025-12-01,Bills,21.49
2025-12-02,Bills,18.45
2025-12-03,Bills,21.28
2025-12-04,Bills,17.16
2025-12-01,Family,6.41
2025-12-02,Family,2.63
2025-12-03,Family,6.55
2025-12-04,Family,5.83
2025-12-01,Other,7.99
2025-12-02,Other,9.28
2025-12-03,Other,6.87
2025-12-04,Other,6.89
2025-12-01,Entertainment,10.91
2025-12-02,Entertainment,14.78
2025-12-03,Entertainment,14.56
2025-12-04,Entertainment,14.48
