Date,Category,Predicted_Spending
2025-11-17,Food,1.9
2025-11-18,Food,2.62
2025-11-19,Food,2.71
2025-11-20,Food,3.74
2025-11-17,Education,3.68
2025-11-18,Education,3.43
2025-11-19,Education,3.05
2025-11-20,Education,4.16
2025-11-17,Transport,1.18
2025-11-18,Transport,1.74
2025-11-19,Transport,1.61
2025-11-20,Transport,0.6
2025-11-17,Health,1.03
2025-11-18,Health,1.63
2025-11-19,Health,1.9
2025-11-20,Health,2.16
2025-11-17,Grocery,1.79
2025-11-18,Grocery,1.42
2025-11-19,Grocery,1.48
2025-11-20,Grocery,1.4
2025-11-17,Insurance,6.23
2025-11-18,Insurance,2.62
2025-11-19,Insurance,3.2
2025-11-20,Insurance,3.25
2025-11-17,Travel,1.89
2025-11-18,Travel,1.08
2025-11-19,Travel,1.5
2025-11-20,Travel,0.98
2025-11-17,Bills,4.9
2025-11-18,Bills,4.18
2025-11-19,Bills,5.01
2025-11-20,Bills,4.03
2025-11-17,Family,3.98
2025-11-18,Family,2.72
2025-11-19,Family,3.45
2025-11-20,Family,2.94
2025-11-17,Other,1.1
2025-11-18,Other,1.68
2025-11-19,Other,1.31
2025-11-20,Other,1.58
2025-11-17,Entertainment,1.38
2025-11-18,Entertainment,2.26
2025-11-19,Entertainment,2.09
2025-11-20,Entertainment,2.0
