Date,Category,Predicted_Spending
2025-11-17,Food,1.08
2025-11-18,Food,1.49
2025-11-19,Food,1.55
2025-11-20,Food,2.13
2025-11-17,Education,2.1
2025-11-18,Education,1.96
2025-11-19,Education,1.74
2025-11-20,Education,2.38
2025-11-17,Transport,0.67
2025-11-18,Transport,0.99
2025-11-19,Transport,0.92
2025-11-20,Transport,0.34
2025-11-17,Health,0.59
2025-11-18,Health,0.93
2025-11-19,Health,1.09
2025-11-20,Health,1.24
2025-11-17,Grocery,1.02
2025-11-18,Grocery,0.8
2025-11-19,Grocery,0.84
2025-11-20,Grocery,0.8
2025-11-17,Insurance,3.57
2025-11-18,Insurance,1.5
2025-11-19,Insurance,1.83
2025-11-20,Insurance,1.86
2025-11-17,Travel,1.08
2025-11-18,Travel,0.62
2025-11-19,Travel,0.86
2025-11-20,Travel,0.56
2025-11-17,Bills,2.8
2025-11-18,Bills,2.39
2025-11-19,Bills,2.87
2025-11-20,Bills,2.3
2025-11-17,Family,2.28
2025-11-18,Family,1.55
2025-11-19,Family,1.97
2025-11-20,Family,1.68
2025-11-17,Other,0.63
2025-11-18,Other,0.96
2025-11-19,Other,0.75
2025-11-20,Other,0.91
2025-11-17,Entertainment,0.79
2025-11-18,Entertainment,1.29
2025-11-19,Entertainment,1.2
2025-11-20,Entertainment,1.14
