Date,Category,Predicted_Spending
2025-12-01,Food,14.53
2025-12-02,Food,17.38
2025-12-03,Food,17.1
2025-12-04,Food,21.49
2025-12-01,Education,13.03
2025-12-02,Education,10.41
2025-12-03,Education,7.12
2025-12-04,Education,11.42
2025-12-01,Transport,6.5
2025-12-02,Transport,10.22
2025-12-03,Transport,10.47
2025-12-04,Transport,6.19
2025-12-01,Health,5.1
2025-12-02,Health,8.74
2025-12-03,Health,10.85
2025-12-04,Health,13.02
2025-12-01,Grocery,5.69
2025-12-02,Grocery,3.41
2025-12-03,Grocery,3.41
2025-12-04,Grocery,2.9
2025-12-01,Insurance,26.68
2025-12-02,Insurance,2.59
2025-12-03,Insurance,-0.17
2025-12-04,Insurance,-5.29
2025-12-01,Travel,11.33
2025-12-02,Travel,7.37
2025-12-03,Travel,9.55
2025-12-04,Travel,6.96
2025-12-01,Bills,28.49
2025-12-02,Bills,24.46
2025-12-03,Bills,28.2
2025-12-04,Bills,22.75
2025-12-01,Family,8.49
2025-12-02,Family,3.49
2025-12-03,Family,8.68
2025-12-04,Family,7.72
2025-12-01,Other,10.59
2025-12-02,Other,12.31
2025-12-03,Other,9.11
2025-12-04,Other,9.13
2025-12-01,Entertainment,14.14
2025-12-02,Entertainment,19.27
2025-12-03,Entertainment,18.97
2025-12-04,Entertainment,18.87
