Date,Category,Predicted_Spending
2025-12-02,Food,119.05
2025-12-03,Food,117.1
2025-12-04,Food,146.63
2025-12-05,Food,112.8
2025-12-02,Education,65.83
2025-12-03,Education,43.67
2025-12-04,Education,72.73
2025-12-05,Education,51.91
2025-12-02,Transport,69.47
2025-12-03,Transport,71.14
2025-12-04,Transport,42.37
2025-12-05,Transport,79.6
2025-12-02,Health,58.07
2025-12-03,Health,72.28
2025-12-04,Health,86.86
2025-12-05,Health,68.7
2025-12-02,Grocery,21.06
2025-12-03,Grocery,21.1
2025-12-04,Grocery,17.7
2025-12-05,Grocery,20.81
2025-12-02,Insurance,13.29
2025-12-03,Insurance,-5.26
2025-12-04,Insurance,-39.65
2025-12-05,Insurance,84.8
2025-12-02,Travel,48.05
2025-12-03,Travel,62.8
2025-12-04,Travel,45.42
2025-12-05,Travel,52.19
2025-12-02,Bills,159.64
2025-12-03,Bills,184.9
2025-12-04,Bills,148.29
2025-12-05,Bills,186.54
2025-12-02,Family,21.41
2025-12-03,Family,56.46
2025-12-04,Family,50.02
2025-12-05,Family,30.61
2025-12-02,Other,80.37
2025-12-03,Other,58.85
2025-12-04,Other,59.02
2025-12-05,Other,52.91
2025-12-02,Entertainment,129.11
2025-12-03,Entertainment,127.15
2025-12-04,Entertainment,126.56
2025-12-05,Entertainment,160.2
