Date,Category,Predicted_Spending
2025-11-17,Food,1.17
2025-11-18,Food,1.61
2025-11-19,Food,1.67
2025-11-20,Food,2.3
2025-11-17,Education,2.28
2025-11-18,Education,2.12
2025-11-19,Education,1.88
2025-11-20,Education,2.57
2025-11-17,Transport,0.73
2025-11-18,Transport,1.07
2025-11-19,Transport,1.0
2025-11-20,Transport,0.37
2025-11-17,Health,0.64
2025-11-18,Health,1.0
2025-11-19,Health,1.17
2025-11-20,Health,1.33
2025-11-17,Grocery,1.1
2025-11-18,Grocery,0.87
2025-11-19,Grocery,0.9
2025-11-20,Grocery,0.86
2025-11-17,Insurance,3.84
2025-11-18,Insurance,1.62
2025-11-19,Insurance,1.97
2025-11-20,Insurance,2.0
2025-11-17,Travel,1.17
2025-11-18,Travel,0.67
2025-11-19,Travel,0.93
2025-11-20,Travel,0.61
2025-11-17,Bills,3.02
2025-11-18,Bills,2.57
2025-11-19,Bills,3.09
2025-11-20,Bills,2.48
2025-11-17,Family,2.45
2025-11-18,Family,1.68
2025-11-19,Family,2.13
2025-11-20,Family,1.81
2025-11-17,Other,0.68
2025-11-18,Other,1.04
2025-11-19,Other,0.81
2025-11-20,Other,0.98
2025-11-17,Entertainment,0.85
2025-11-18,Entertainment,1.39
2025-11-19,Entertainment,1.29
2025-11-20,Entertainment,1.23
