Date,Category,Predicted_Spending
2025-11-17,Food,1.03
2025-11-18,Food,1.42
2025-11-19,Food,1.47
2025-11-20,Food,2.02
2025-11-17,Education,1.99
2025-11-18,Education,1.85
2025-11-19,Education,1.64
2025-11-20,Education,2.25
2025-11-17,Transport,0.64
2025-11-18,Transport,0.94
2025-11-19,Transport,0.87
2025-11-20,Transport,0.32
2025-11-17,Health,0.56
2025-11-18,Health,0.88
2025-11-19,Health,1.03
2025-11-20,Health,1.17
2025-11-17,Grocery,0.97
2025-11-18,Grocery,0.77
2025-11-19,Grocery,0.8
2025-11-20,Grocery,0.76
2025-11-17,Insurance,3.38
2025-11-18,Insurance,1.42
2025-11-19,Insurance,1.74
2025-11-20,Insurance,1.76
2025-11-17,Travel,1.03
2025-11-18,Travel,0.59
2025-11-19,Travel,0.81
2025-11-20,Travel,0.53
2025-11-17,Bills,2.66
2025-11-18,Bills,2.27
2025-11-19,Bills,2.72
2025-11-20,Bills,2.19
2025-11-17,Family,2.16
2025-11-18,Family,1.47
2025-11-19,Family,1.87
2025-11-20,Family,1.59
2025-11-17,Other,0.6
2025-11-18,Other,0.91
2025-11-19,Other,0.71
2025-11-20,Other,0.86
2025-11-17,Entertainment,0.75
2025-11-18,Entertainment,1.23
2025-11-19,Entertainment,1.14
2025-11-20,Entertainment,1.08
