Date,Category,Predicted_Spending
2025-12-01,Food,34421.32
2025-12-02,Food,41097.39
2025-12-03,Food,40418.69
2025-12-04,Food,50728.17
2025-12-01,Education,28771.2
2025-12-02,Education,22583.32
2025-12-03,Education,14818.86
2025-12-04,Education,24909.49
2025-12-01,Transport,15249.68
2025-12-02,Transport,23997.26
2025-12-03,Transport,24571.47
2025-12-04,Transport,14519.11
2025-12-01,Health,11979.37
2025-12-02,Health,20544.75
2025-12-03,Health,25507.52
2025-12-04,Health,30593.93
2025-12-01,Grocery,13381.18
2025-12-02,Grocery,8002.02
2025-12-03,Grocery,8012.25
2025-12-04,Grocery,6817.46
2025-12-01,Insurance,62710.27
2025-12-02,Insurance,6094.94
2025-12-03,Insurance,-399.3
2025-12-04,Insurance,-12425.84
2025-12-01,Travel,26611.7
2025-12-02,Travel,17311.97
2025-12-03,Travel,22440.85
2025-12-04,Travel,16357.28
2025-12-01,Bills,66962.85
2025-12-02,Bills,57500.19
2025-12-03,Bills,66292.39
2025-12-04,Bills,53468.1
2025-12-01,Family,19962.27
2025-12-02,Family,8193.57
2025-12-03,Family,20407.51
2025-12-04,Family,18149.47
2025-12-01,Other,24889.46
2025-12-02,Other,28926.63
2025-12-03,Other,21411.26
2025-12-04,Other,21456.39
2025-12-01,Entertainment,33603.74
2025-12-02,Entertainment,45642.45
2025-12-03,Entertainment,44948.27
2025-12-04,Entertainment,44722.96
