Date,Category,Predicted_Spending
2025-12-01,Food,184.56
2025-12-02,Food,220.49
2025-12-03,Food,216.83
2025-12-04,Food,272.31
2025-12-01,Education,158.09
2025-12-02,Education,124.86
2025-12-03,Education,83.16
2025-12-04,Education,137.55
2025-12-01,Transport,83.15
2025-12-02,Transport,130.23
2025-12-03,Transport,133.32
2025-12-04,Transport,79.22
2025-12-01,Health,64.46
2025-12-02,Health,110.56
2025-12-03,Health,137.26
2025-12-04,Health,164.64
2025-12-01,Grocery,72.02
2025-12-02,Grocery,43.08
2025-12-03,Grocery,43.13
2025-12-04,Grocery,36.7
2025-12-01,Insurance,337.47
2025-12-02,Insurance,32.8
2025-12-03,Insurance,-2.15
2025-12-04,Insurance,-66.87
2025-12-01,Travel,143.22
2025-12-02,Travel,93.18
2025-12-03,Travel,120.78
2025-12-04,Travel,88.04
2025-12-01,Bills,360.36
2025-12-02,Bills,309.43
2025-12-03,Bills,356.75
2025-12-04,Bills,287.74
2025-12-01,Family,107.43
2025-12-02,Family,44.09
2025-12-03,Family,109.82
2025-12-04,Family,97.67
2025-12-01,Other,133.92
2025-12-02,Other,155.65
2025-12-03,Other,115.2
2025-12-04,Other,115.44
2025-12-01,Entertainment,180.52
2025-12-02,Entertainment,245.3
2025-12-03,Entertainment,241.56
2025-12-04,Entertainment,240.35
