Date,Category,Predicted_Spending
2025-11-17,Food,211.47
2025-11-18,Food,291.7
2025-11-19,Food,302.37
2025-11-20,Food,416.63
2025-11-17,Education,410.79
2025-11-18,Education,382.82
2025-11-19,Education,339.92
2025-11-20,Education,464.39
2025-11-17,Transport,131.04
2025-11-18,Transport,193.68
2025-11-19,Transport,179.67
2025-11-20,Transport,66.26
2025-11-17,Health,115.35
2025-11-18,Health,181.84
2025-11-19,Health,212.19
2025-11-20,Health,241.68
2025-11-17,Grocery,197.19
2025-11-18,Grocery,155.51
2025-11-19,Grocery,161.64
2025-11-20,Grocery,153.53
2025-11-17,Insurance,696.04
2025-11-18,Insurance,292.56
2025-11-19,Insurance,357.4
2025-11-20,Insurance,362.64
2025-11-17,Travel,211.35
2025-11-18,Travel,121.11
2025-11-19,Travel,167.62
2025-11-20,Travel,109.68
2025-11-17,Bills,546.9
2025-11-18,Bills,466.38
2025-11-19,Bills,559.31
2025-11-20,Bills,449.81
2025-11-17,Family,444.51
2025-11-18,Family,303.43
2025-11-19,Family,385.16
2025-11-20,Family,328.11
2025-11-17,Other,122.61
2025-11-18,Other,187.64
2025-11-19,Other,145.95
2025-11-20,Other,176.97
2025-11-17,Entertainment,154.35
2025-11-18,Entertainment,252.23
2025-11-19,Entertainment,233.57
2025-11-20,Entertainment,223.0
