Date,Category,Predicted_Spending
2025-11-17,Food,1979.33
2025-11-18,Food,2729.66
2025-11-19,Food,2829.61
2025-11-20,Food,3898.12
2025-11-17,Education,3884.0
2025-11-18,Education,3623.51
2025-11-19,Education,3223.36
2025-11-20,Education,4387.24
2025-11-17,Transport,1210.6
2025-11-18,Transport,1795.82
2025-11-19,Transport,1665.02
2025-11-20,Transport,605.84
2025-11-17,Health,1077.16
2025-11-18,Health,1698.22
2025-11-19,Health,1981.73
2025-11-20,Health,2257.22
2025-11-17,Grocery,1846.96
2025-11-18,Grocery,1457.66
2025-11-19,Grocery,1515.3
2025-11-20,Grocery,1439.91
2025-11-17,Insurance,6501.68
2025-11-18,Insurance,2732.82
2025-11-19,Insurance,3338.45
2025-11-20,Insurance,3387.41
2025-11-17,Travel,1974.18
2025-11-18,Travel,1131.25
2025-11-19,Travel,1565.78
2025-11-20,Travel,1024.56
2025-11-17,Bills,5108.63
2025-11-18,Bills,4356.49
2025-11-19,Bills,5224.54
2025-11-20,Bills,4201.65
2025-11-17,Family,4152.13
2025-11-18,Family,2834.34
2025-11-19,Family,3597.73
2025-11-20,Family,3064.85
2025-11-17,Other,1145.32
2025-11-18,Other,1752.75
2025-11-19,Other,1363.28
2025-11-20,Other,1653.09
2025-11-17,Entertainment,1441.77
2025-11-18,Entertainment,2356.0
2025-11-19,Entertainment,2181.71
2025-11-20,Entertainment,2083.03
