Date,Category,Predicted_Spending
2025-12-02,Food,770.62
2025-12-03,Food,758.05
2025-12-04,Food,948.71
2025-12-05,Food,730.29
2025-12-02,Education,429.5
2025-12-03,Education,286.52
2025-12-04,Education,474.04
2025-12-05,Education,339.71
2025-12-02,Transport,448.53
2025-12-03,Transport,459.34
2025-12-04,Transport,273.6
2025-12-05,Transport,513.92
2025-12-02,Health,374.89
2025-12-03,Health,466.63
2025-12-04,Health,560.72
2025-12-05,Health,443.53
2025-12-02,Grocery,135.51
2025-12-03,Grocery,135.77
2025-12-04,Grocery,113.83
2025-12-05,Grocery,133.91
2025-12-02,Insurance,85.8
2025-12-03,Insurance,-33.95
2025-12-04,Insurance,-255.94
2025-12-05,Insurance,547.44
2025-12-02,Travel,308.95
2025-12-03,Travel,404.11
2025-12-04,Travel,291.9
2025-12-05,Travel,335.59
2025-12-02,Bills,1030.57
2025-12-03,Bills,1193.69
2025-12-04,Bills,957.31
2025-12-05,Bills,1204.23
2025-12-02,Family,138.23
2025-12-03,Family,364.5
2025-12-04,Family,322.92
2025-12-05,Family,197.59
2025-12-02,Other,518.93
2025-12-03,Other,379.98
2025-12-04,Other,381.07
2025-12-05,Other,341.65
2025-12-02,Entertainment,830.2
2025-12-03,Entertainment,817.62
2025-12-04,Entertainment,813.86
2025-12-05,Entertainment,1030.69
