Date,Category,Predicted_Spending
2025-12-02,Food,5278.89
2025-12-03,Food,5192.98
2025-12-04,Food,6495.17
2025-12-05,Food,5003.44
2025-12-02,Education,2908.16
2025-12-03,Education,1932.2
2025-12-04,Education,3213.37
2025-12-05,Education,2296.64
2025-12-02,Transport,3029.41
2025-12-03,Transport,3103.01
2025-12-04,Transport,1834.26
2025-12-05,Transport,3475.38
2025-12-02,Health,2560.33
2025-12-03,Health,3186.86
2025-12-04,Health,3829.42
2025-12-05,Health,3029.07
2025-12-02,Grocery,929.81
2025-12-03,Grocery,931.58
2025-12-04,Grocery,781.74
2025-12-05,Grocery,918.91
2025-12-02,Insurance,585.95
2025-12-03,Insurance,-231.83
2025-12-04,Insurance,-1747.93
2025-12-05,Insurance,3738.71
2025-12-02,Travel,2082.24
2025-12-03,Travel,2731.41
2025-12-04,Travel,1964.61
2025-12-05,Travel,2262.44
2025-12-02,Bills,7038.27
2025-12-03,Bills,8152.32
2025-12-04,Bills,6537.97
2025-12-05,Bills,8224.27
2025-12-02,Family,944.06
2025-12-03,Family,2489.38
2025-12-04,Family,2205.43
2025-12-05,Family,1349.5
2025-12-02,Other,3545.13
2025-12-03,Other,2596.2
2025-12-04,Other,2603.6
2025-12-05,Other,2334.4
2025-12-02,Entertainment,5679.02
2025-12-03,Entertainment,5592.81
2025-12-04,Entertainment,5566.83
2025-12-05,Entertainment,7046.39
