Date,Category,Predicted_Spending
2025-12-01,Food,37.65
2025-12-02,Food,45.01
2025-12-03,Food,44.28
2025-12-04,Food,55.65
2025-12-01,Education,31.81
2025-12-02,Education,24.99
2025-12-03,Education,16.44
2025-12-04,Education,27.57
2025-12-01,Transport,16.83
2025-12-02,Transport,26.48
2025-12-03,Transport,27.11
2025-12-04,Transport,16.03
2025-12-01,Health,13.2
2025-12-02,Health,22.64
2025-12-03,Health,28.11
2025-12-04,Health,33.72
2025-12-01,Grocery,14.75
2025-12-02,Grocery,8.82
2025-12-03,Grocery,8.83
2025-12-04,Grocery,7.51
2025-12-01,Insurance,69.12
2025-12-02,Insurance,6.72
2025-12-03,Insurance,-0.44
2025-12-04,Insurance,-13.7
2025-12-01,Travel,29.35
2025-12-02,Travel,19.1
2025-12-03,Travel,24.76
2025-12-04,Travel,18.05
2025-12-01,Bills,73.8
2025-12-02,Bills,63.37
2025-12-03,Bills,73.07
2025-12-04,Bills,58.93
2025-12-01,Family,22.0
2025-12-02,Family,9.03
2025-12-03,Family,22.49
2025-12-04,Family,20.0
2025-12-01,Other,27.43
2025-12-02,Other,31.88
2025-12-03,Other,23.59
2025-12-04,Other,23.64
2025-12-01,Entertainment,37.19
2025-12-02,Entertainment,50.46
2025-12-03,Entertainment,49.69
2025-12-04,Entertainment,49.44
