Date,Category,Predicted_Spending
2025-12-01,Food,21.17
2025-12-02,Food,25.26
2025-12-03,Food,24.84
2025-12-04,Food,31.16
2025-12-01,Education,18.1
2025-12-02,Education,14.32
2025-12-03,Education,9.57
2025-12-04,Education,15.76
2025-12-01,Transport,9.35
2025-12-02,Transport,14.71
2025-12-03,Transport,15.06
2025-12-04,Transport,8.9
2025-12-01,Health,7.33
2025-12-02,Health,12.57
2025-12-03,Health,15.61
2025-12-04,Health,18.72
2025-12-01,Grocery,8.19
2025-12-02,Grocery,4.9
2025-12-03,Grocery,4.91
2025-12-04,Grocery,4.17
2025-12-01,Insurance,38.38
2025-12-02,Insurance,3.73
2025-12-03,Insurance,-0.24
2025-12-04,Insurance,-7.61
2025-12-01,Travel,16.29
2025-12-02,Travel,10.6
2025-12-03,Travel,13.74
2025-12-04,Travel,10.02
2025-12-01,Bills,40.98
2025-12-02,Bills,35.19
2025-12-03,Bills,40.57
2025-12-04,Bills,32.72
2025-12-01,Family,12.22
2025-12-02,Family,5.01
2025-12-03,Family,12.49
2025-12-04,Family,11.11
2025-12-01,Other,15.23
2025-12-02,Other,17.7
2025-12-03,Other,13.1
2025-12-04,Other,13.13
2025-12-01,Entertainment,20.88
2025-12-02,Entertainment,28.25
2025-12-03,Entertainment,27.82
2025-12-04,Entertainment,27.69
